var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
10,21,34,34,1.7289801492861904e-06,73.86261653900146,28.758307,40.279071
33,13,33,13,1.3755269445457077e-08,74.26294469833374,39.287089,50.457032
15,6,36,6,0.0001594332576441,74.32586359977722,29.879528,41.363516
7,52,38,14,0.0001114724045824,74.8019061088562,22.328443,34.064004
48,24,5,31,0.0366085943611441,75.14639401435852,17.845535,29.72904
25,5,18,9,3.3960909464666656e-05,75.37001609802246,35.810398,47.096772
42,32,51,44,2.7368906574577088e-21,75.44104433059692,39.314202,50.483189
19,15,40,50,1.6700890126327252e-10,75.41092205047607,39.287427,50.457224
34,41,52,51,6.146770681433749e-21,75.5183539390564,39.31521,50.484188
38,32,23,12,9.31926695403858e-08,75.53056788444519,39.069808,50.246936
46,26,11,8,2.2384773406200795e-05,75.56477403640747,30.7277,42.18323
11,31,47,9,9.13945218960715e-06,75.65314936637878,30.734728,42.190335
18,48,48,16,5.153347997871039e-10,75.67812657356262,39.287387,50.457415
35,35,19,39,1.0957380252970148e-10,75.71072578430176,39.284201,50.454
16,29,33,47,4.2595568835227884e-10,75.72310018539429,38.821718,50.006924
31,11,32,34,2.5972985526878027e-08,75.67658638954163,39.31484,50.483793
39,19,23,41,2.702243625561708e-12,75.85928678512573,39.309833,50.479
37,40,42,45,1.0885887868869766e-22,75.82812666893005,39.315245,50.484178
52,12,15,29,4.7225581790049683e-08,75.8522264957428,38.10948,49.318573
46,40,37,30,1.897480787981101e-18,75.92653489112854,39.312315,50.481301
7,20,27,17,0.0001112038098038,73.81585717201233,22.32095,34.056545
34,24,36,27,5.50897946128335e-16,74.90333080291748,39.307705,50.476736
45,20,8,20,0.0004830896218867,73.33358192443848,24.502856,36.1656
12,51,50,42,1.0768617684620627e-07,74.66477251052856,32.738363,44.125985
51,51,48,48,4.6341751832408385e-28,73.71580410003662,39.307138,50.476172
32,9,14,36,1.2186820934756702e-06,74.94375967979431,36.670372,47.927509
42,9,47,47,9.530578164157416e-07,74.05879068374634,39.307898,50.476826
7,16,27,11,0.0001115207657565,74.12439250946045,22.31912,34.054748
31,17,10,13,3.2185558087106955e-05,75.22510862350464,28.720363,40.242265
11,8,12,37,4.218934725627461e-06,74.64767909049988,30.763876,42.218366
24,4,22,15,0.0005877628281366,74.89164662361145,39.28272,50.452436
15,45,9,47,0.0001232928328717,74.88314819335938,26.656786,38.247039
42,15,36,9,4.212179754001089e-06,75.03850746154785,35.806072,47.09135
52,43,42,24,3.3471376746686597e-15,74.95927429199219,39.307432,50.476337
32,6,13,40,2.7077015007293885e-05,74.92779994010925,34.709036,46.031676
28,20,33,7,4.257168291823929e-05,75.15924191474915,31.833752,43.251905
18,28,49,24,2.6490671136143612e-11,75.04836320877075,39.28088,50.450636
