var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
9,14,31,49,6890000000.0,804.7926326,26.730569,35.29568
19,27,51,36,6560.0,805.673563,39.290186,47.436515
20,30,30,6,0.00015943325764414864,809.5211844,29.888975,38.349281
49,8,38,51,834000000.0,812.1356461,39.32556,47.470683
10,24,14,43,23100000000.0,814.4132724,28.765584,37.262624
26,4,31,29,0.0005876027269814939,816.1424179,39.329066,47.474392
5,39,42,16,0.0017424751963416234,816.5048842,16.93064,25.822829
11,19,20,29,432000000.0,821.1397171,30.76818,39.19833
44,51,14,48,1140000000.0,821.8811593,36.697347,44.930222
14,22,32,43,6640000.0,822.0944057,36.694551,44.927375
21,9,23,50,954000000.0,823.6512742,39.318456,47.463948
17,49,35,50,1070000.0,823.9751575,39.187087,47.336668
39,37,28,5,0.0005064242007053186,825.2002563,27.7877,36.317752
14,44,27,34,6660000.0,833.1819849,36.703676,44.936503
34,31,7,45,0.001988476346544061,835.0680215,22.217848,30.932402
41,42,32,34,0.0192,835.8600295,39.327905,47.473126
42,7,46,12,28600000000.0,841.4979601,39.083021,47.23656
45,48,13,31,4520000000.0,843.5952773,34.73483,43.033244
37,32,31,12,9320000.0,852.0195429,39.083012,47.236441
49,36,19,23,1150000.0,853.6064022,39.291492,47.437562
10,42,18,32,17200000000.0,762.9712255,28.750728,37.24775
41,49,12,41,18200000000.0,769.5716879,32.742187,41.10647
5,12,42,33,0.0017436736945892263,760.0478787,16.912097,25.804129
22,17,29,23,293000.0,758.3208966,39.303652,47.449069
5,12,18,22,0.0017436736945892263,778.7645042,16.913462,25.805517
43,12,49,43,30200000.0,778.8503625,39.321176,47.466392
36,21,46,32,1030.0,790.7404308,39.321112,47.466448
33,34,7,15,0.0019968824849382586,791.1781495,22.189091,30.90371
35,52,40,6,0.00015943325764414864,785.3869433,29.886032,38.346337
52,21,48,14,34800000.0,780.5115974,39.273626,47.420076
31,50,48,13,138000000.0,785.8297594,39.292624,47.438868
17,51,21,35,1430000.0,784.2904019,39.184622,47.334219
46,32,52,37,2.72e-05,800.9233265,39.320916,47.466226
17,9,19,18,966000000.0,757.5781384,39.182969,47.332649
27,52,49,40,0.0996,796.9613061,39.32074,47.46603
24,29,39,18,9430.0,798.3937232,39.319354,47.464659
51,8,9,13,0.00012636010531359327,797.1064956,26.650287,35.2174
21,13,12,27,19000000000.0,780.177011,32.728528,41.092603
17,42,24,28,1090000.0,795.3003185,39.168153,47.31777
34,43,29,13,138000000.0,792.1656618,39.273651,47.419895
14,49,21,50,67200000.0,787.9258401,36.691825,44.924667
25,35,12,50,18200000000.0,750.7536814,32.732213,41.096496
10,6,17,37,271000000000.0,754.571209,28.756047,37.253145
44,40,38,13,138000000.0,774.3278384,39.286875,47.433119
13,28,33,4,0.002106385091921028,780.8769884,25.819385,34.414781
48,52,18,10,15800000000.0,781.3049428,37.678603,45.878609
32,8,9,17,0.00012177846088265986,767.6079407,26.664043,35.231238
39,21,41,34,1030.0,784.1056912,39.309506,47.45476
36,41,28,23,22.5,792.7192714,39.310626,47.455712
33,15,22,45,1570000.0,777.9600399,39.315507,47.460753
19,35,25,30,6940.0,780.7356451,39.284916,47.431201
9,27,23,13,68100000000.0,790.3338366,26.716275,35.281388
39,45,17,16,3730000.0,791.3821769,39.175664,47.325541
52,9,52,49,953000000.0,787.5270624,39.312821,47.458029
40,8,17,15,792000000.0,773.5861971,39.177331,47.32701
49,47,8,39,0.0004830896218867906,782.5570726,24.50958,33.148622
47,18,26,42,605.0,798.0230458,39.311414,47.456674
35,24,42,44,0.487,781.3644538,39.314252,47.459616
33,19,29,37,1360.0,788.4499321,39.315641,47.460808
9,25,10,13,68800000000.0,787.4868567,26.73314,35.297887
9,46,22,23,6800000000.0,758.0146606,26.721121,35.286284
23,22,30,44,275.0,762.0780103,39.312554,47.457968
5,26,52,31,0.0017424751963416234,753.0582798,16.924113,25.816304
5,28,13,42,0.001744621986850948,755.1431787,16.916395,25.80882
31,37,49,30,0.000976,752.8109627,39.317111,47.462395
50,15,52,33,1470000.0,775.3858867,39.314688,47.459851
11,43,17,31,4520000000.0,774.8136277,30.764261,39.194423
19,12,42,34,30300000.0,768.4339893,39.287408,47.433693
13,27,34,17,272000000.0,768.4679103,34.722622,43.020654
41,12,28,34,30200000.0,787.6008472,39.317784,47.463041
49,25,14,17,1180000000.0,771.6835818,36.689812,44.922963
28,11,41,16,264000000.0,762.9990215,39.305233,47.450821
9,21,49,34,6800000000.0,756.3170905,26.720804,35.285953
34,27,39,26,0.557,783.0544755,39.31623,47.46156
37,31,21,24,7280.0,796.2507124,39.31397,47.459252
40,39,29,30,1.19,773.273257,39.315783,47.460974
28,13,17,51,5590000.0,779.8765795,39.180252,47.330258
17,11,52,49,268000000.0,780.9626489,39.177437,47.327078
12,10,16,26,823000000.0,774.0441821,32.739079,41.103809
46,36,9,38,0.0001227534728125778,768.887933,26.666332,35.232832
26,27,7,27,0.001988476346544061,806.8968632,22.201805,30.916359
42,41,31,15,898000.0,861.196593,39.290017,47.436206
48,10,29,42,397000000.0,844.1937718,39.307128,47.452366
33,32,39,28,0.00908,862.581538,39.30254,47.447746
22,22,38,26,1060.0,847.3377588,39.306593,47.45189
24,20,52,37,369.0,843.6710203,39.309202,47.454619
29,23,29,43,6.36,857.057879,39.310064,47.455337
30,33,10,36,304000000000.0,850.7853265,28.715072,37.213514
39,23,35,31,57.1,845.9497366,39.30027,47.445536
28,25,38,13,138000000.0,850.00734,39.275277,47.421527
26,26,33,29,0.583,830.8771696,39.315032,47.46037
12,6,22,42,252000000000.0,853.5023406,32.741155,41.105383
13,34,19,15,31500000.0,832.6475506,34.71706,43.015257
10,15,51,34,17300000000.0,828.6727753,28.759086,37.256122
27,7,7,28,0.0018691351794054205,832.7892661,22.216632,30.931124
34,44,29,21,346.0,859.8282948,39.304851,47.450157
26,34,12,38,18200000000.0,843.9051235,32.722548,41.086831
37,20,51,38,333.0,838.3333957,39.311325,47.456564
34,31,26,18,9200.0,840.8695099,39.312075,47.457377
52,37,41,24,33.5,861.317445,39.305687,47.450893
49,7,48,10,30700000000.0,826.4518354,37.680225,45.87971
14,13,38,13,6180000.0,818.385433,36.687999,44.922331
30,35,9,5,0.0005775507723590623,818.8858497,26.830129,35.391917
18,14,39,14,28100000.0,823.6044118,39.287495,47.433796
28,31,39,39,0.25,830.7140057,39.315001,47.460236
23,39,48,41,25.4,841.0780971,39.312566,47.457947
27,34,24,9,4210000000.0,849.748517,35.814166,44.075745
27,5,8,32,0.0005150844827153202,839.1213982,24.508595,33.14759
41,50,35,35,2.15e-05,851.8977876,39.316285,47.461582
6,20,38,34,0.00043551353758223096,822.0347757,19.789906,28.587098
8,48,46,15,281000000000.0,836.3379416,24.595458,33.231655
29,41,5,35,0.0366085943611441,845.2039728,17.846042,26.705848
14,27,50,9,4490000000.0,862.1188478,35.770431,44.033489
9,43,19,39,6810000000.0,851.3506722,26.717153,35.28228
11,37,19,25,4340000000.0,856.1035011,30.762575,39.192716
50,27,23,50,435.0,867.0231278,39.312873,47.458197
42,28,38,6,0.00015943325764414864,850.346293,29.880281,38.340586
20,18,35,37,23800.0,869.5149202,39.296953,47.442764
28,34,5,20,0.0366085943611441,857.7792311,17.846045,26.705851
8,50,14,16,29700000000.0,865.0687809,24.59578,33.231848
26,19,6,31,0.00884108909743404,828.7435727,19.884919,28.675349
4,7,37,22,0.006678458194861062,802.5147018,14.310434,23.288227
47,28,12,43,18200000000.0,810.2578034,32.724914,41.089197
33,34,5,28,0.0366085943611441,803.5827782,17.847268,26.707074
17,18,20,20,2030000.0,799.5152502,39.180212,47.329902
27,43,7,27,0.001988476346544061,793.0831215,22.185448,30.900002
4,23,49,44,0.00667731320326925,795.8835623,14.311041,23.2887
31,51,51,37,0.00399,814.3898871,39.296957,47.442336
17,40,16,43,7210000.0,820.0050459,38.823335,46.984956
26,31,27,25,8.92,804.6973672,39.30398,47.449216
13,35,17,8,9510000000.0,806.3387065,33.809248,42.138129
43,17,50,41,286000.0,805.3680282,39.316632,47.461993
32,38,28,21,346.0,807.630348,39.299907,47.445223
34,43,41,21,3450.0,813.0386596,39.302602,47.447907
46,43,22,31,17800.0,830.8289788,39.317259,47.46249
17,42,26,33,1070000.0,807.7456391,39.161606,47.311211
18,33,10,19,304000000000.0,810.7960565,28.733317,37.231721
14,41,42,22,6640000.0,810.1200247,36.692723,44.925529
11,29,10,4,0.0022487258553309337,814.1333656,25.806356,34.401474
39,32,9,41,0.0001227534728125778,804.369045,26.665542,35.232042
9,33,30,9,125000000000.0,786.2830455,26.704109,35.269895
10,13,35,9,16800000000.0,802.6593437,28.715722,37.213822
52,31,41,21,3440.0,807.5522077,39.315691,47.460999
10,46,40,10,403000000.0,774.7553544,28.742818,37.240225
45,49,44,51,1.02e-09,807.7753525,39.312582,47.457844
10,15,39,26,17300000000.0,794.7804155,28.753109,37.250145
6,33,25,28,0.00043551353758223096,799.374162,19.789894,28.587081
49,37,31,26,2.47,812.5847507,39.315345,47.460632
52,40,36,43,6.68e-06,814.8013473,39.30542,47.450692
35,9,14,48,12200000000.0,815.7845724,36.678469,44.911907
31,33,45,18,9170.0,807.513772,39.304543,47.449824
19,38,31,42,6530.0,819.1319022,39.286984,47.43332
11,45,51,17,433000000.0,793.9797242,30.762767,39.1928
20,43,40,22,17000.0,817.6500616,39.297021,47.442958
13,44,47,15,29800000.0,793.5250833,34.723428,43.021617
17,33,38,5,0.0005064242007053186,808.9201548,27.776291,36.306332
12,47,23,17,107000000.0,830.5736952,32.745929,41.109932
29,52,16,28,7100000.0,823.2554052,38.816951,46.978726
24,36,14,36,1140000000.0,845.0848012,36.682933,44.915821
45,45,47,29,0.00373,820.4013636,39.313082,47.458532
12,26,13,16,1060000000.0,763.8078332,32.752309,41.115776
35,44,19,11,2160000000.0,781.1265016,38.604995,46.77397
6,22,37,35,0.00043551353758223096,775.9329779,19.789899,28.587086
17,52,13,6,0.00015737804860156262,758.354296,29.881596,38.341672
32,50,24,11,2160000000.0,772.8481281,38.604897,46.773909
39,26,51,40,0.00388,781.0420842,39.316558,47.461878
10,33,11,7,61100000000.0,788.4701097,28.807146,37.302519
24,12,29,51,302000000.0,772.6193769,39.314375,47.459889
8,23,12,11,39200000000.0,766.5303049,24.596783,33.232653
