var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
35,35,19,39,1100000.0,67.7992084,39.290769,47.436602
15,6,36,6,0.00015943325764414864,68.16355419,29.888678,38.348756
19,15,40,50,1670000.0,68.29578614,39.303437,47.449325
39,19,23,41,27000.0,68.98356557,39.316274,47.461532
42,32,51,44,2.74e-05,69.14923859,39.324388,47.469466
16,29,33,47,4260000.0,69.25359988,38.828214,46.98951
10,21,34,34,17300000000.0,69.4035058,28.765193,37.262048
48,24,5,31,0.0366085943611441,69.69553733,17.853844,26.713439
33,13,33,13,138000000.0,69.87069368,39.297929,47.443962
7,52,38,14,0.00011147240458249543,69.92315555,22.341808,31.05346
25,5,18,9,340000000000.0,70.53279257,35.817679,44.080144
46,26,11,8,224000000000.0,70.66556215,30.741947,39.173567
34,41,52,51,6.15e-05,70.92871475,39.326249,47.471317
38,32,23,12,9320000.0,71.1218698,39.081478,47.234697
11,31,47,9,914000000.0,71.24906373,30.742403,39.1741
31,11,32,34,260000000.0,71.35912681,39.329961,47.475005
52,12,15,29,472000000.0,71.35862207,38.126296,46.31148
18,48,48,16,515000.0,71.44504738,39.299873,47.445992
37,40,42,45,1.09e-06,71.48108077,39.332012,47.477035
46,40,37,30,0.019,71.67540121,39.3187,47.463776
42,9,47,47,953000000.0,67.36136818,39.305553,47.450571
45,20,8,20,0.0004830896218867906,68.9279263,24.520187,33.159022
28,20,33,7,42600000000.0,70.54112792,31.849922,40.244166
32,9,14,36,12200000000.0,70.45949888,36.687705,44.920932
7,16,27,11,0.00011152076575657443,68.68089652,22.33642,31.048138
15,45,9,47,0.00012329283287176854,69.68277907,26.652879,35.219223
7,20,27,17,0.0001112038098038709,70.47232914,22.316505,31.028191
24,4,22,15,0.0005877628281366663,69.26424599,39.299393,47.4452
31,17,10,13,322000000000.0,70.79554868,28.737691,37.235684
12,51,50,42,1080000000.0,70.619699,32.755038,41.11875
34,24,36,27,0.0551,71.18859863,39.324872,47.469993
51,51,48,48,4.63e-13,70.14267969,39.324462,47.469586
11,8,12,37,4220000000.0,69.23881888,30.761037,39.191617
35,50,32,23,211.0,71.73041868,39.325403,47.47028
52,43,42,24,33.5,71.75928354,39.324422,47.469419
18,28,49,24,265000.0,70.39935541,39.279132,47.424979
42,15,36,9,4210000000.0,70.74924469,35.823398,44.084766
32,6,13,40,271000000000.0,71.21724057,34.725548,43.024279
17,38,40,47,1070000.0,71.31301093,39.171112,47.320483
47,38,43,45,6.77e-11,71.80147052,39.324464,47.469452
42,34,31,37,0.00695,68.57029557,39.318807,47.463983
42,23,5,33,0.0366085943611441,70.31943774,17.839281,26.698877
9,5,40,29,38200000000.0,70.75078583,26.715761,35.281148
46,37,45,14,34800000.0,69.21400142,39.291247,47.437487
48,12,16,40,324000000.0,71.07928085,38.82193,46.983401
45,37,51,13,138000000.0,69.27943492,39.290211,47.436244
28,51,29,23,230.0,70.08599639,39.316839,47.461746
21,32,41,28,4120.0,70.70923352,39.313363,47.458487
12,46,20,14,1170000000.0,70.5741396,32.743659,41.107459
45,32,49,7,42600000000.0,69.28665376,31.839627,40.233872
20,51,23,32,31300.0,71.06938529,39.299272,47.444967
24,31,47,10,15800000000.0,70.94025612,37.675238,45.874946
45,15,47,16,3830000.0,68.71562052,39.309113,47.45452
18,11,23,24,261000000.0,69.78190994,39.289914,47.435773
45,35,20,28,286000.0,71.31945968,39.29649,47.442051
6,51,8,14,0.001664726739244661,70.94437289,19.848777,28.642092
16,22,39,24,4260000.0,71.27130318,38.827084,46.98838
17,29,10,9,63500000000.0,71.24321485,28.682364,37.1815
50,15,8,37,0.0004830896218867906,70.16266561,24.514463,33.153311
41,31,25,51,275.0,70.99372959,39.310062,47.455182
15,32,10,36,304000000000.0,69.62659979,28.736763,37.234912
23,46,8,5,0.0014131363279754026,69.38348269,24.352092,32.995479
50,21,34,40,1030.0,69.79498529,39.319103,47.464148
19,26,38,26,6520.0,68.70155787,39.29126,47.437373
9,33,29,45,6800000000.0,68.70796442,26.721605,35.286542
4,6,21,17,0.006746754225614043,67.8177712,14.314593,23.292038
34,32,31,14,34800000.0,69.46511078,39.292262,47.438501
51,5,51,15,290000000000.0,69.41787004,39.292785,47.438787
32,44,51,5,0.0005064242007053186,69.35523987,27.779805,36.309646
52,35,8,45,0.0004830896218867906,69.09720159,24.516443,33.155274
11,24,51,48,4320000000.0,68.95791268,30.765846,39.195689
42,17,49,46,28600.0,69.49891734,39.318661,47.463867
15,8,43,44,840000000.0,69.18684959,38.119256,46.30453
30,35,12,35,18200000000.0,69.34214401,32.739764,41.103837
39,45,52,31,0.000134,69.903615,39.319846,47.464863
23,35,44,9,4210000000.0,70.11800957,35.817621,44.078992
35,38,49,16,237000.0,69.75023794,39.307754,47.453231
49,49,28,36,0.443,69.75059462,39.320978,47.466065
10,46,31,11,20900000000.0,69.64790463,28.766539,37.263656
37,27,12,35,18200000000.0,69.3426199,32.739764,41.103836
6,8,51,50,0.0004398007839465549,69.52813363,19.789087,28.585943
4,21,15,46,0.006664654736170681,68.65069604,14.304286,23.28181
6,50,52,20,0.00043551353758223096,68.93306708,19.781513,28.578494
5,30,17,14,0.0017424751963416234,68.95390582,16.911646,25.803615
35,49,43,34,0.000146,68.2909162,39.308885,47.453991
43,52,16,9,42600000000.0,69.78837919,35.819395,44.080762
35,38,25,52,27.7,69.25650716,39.309436,47.454557
25,52,22,20,2880.0,70.22235084,39.3122,47.457292
18,35,47,40,265000.0,69.08007979,39.277887,47.423736
30,28,40,40,0.0256,69.11308312,39.314721,47.459795
21,32,51,6,0.00015943325764414864,69.1511662,29.881087,38.341175
9,44,51,34,6800000000.0,69.85411334,26.704441,35.269378
47,18,13,44,4540000000.0,69.72770524,34.709828,43.007983
25,11,41,4,0.0020840001060303103,69.40929103,25.826102,34.421219
23,26,36,43,265.0,69.3106451,39.307581,47.452761
21,35,6,4,0.02537735240377903,69.84298682,20.436557,29.21222
46,5,52,47,289000000000.0,69.88346004,39.300115,47.44528
36,43,13,16,50200000.0,70.0309577,34.705199,43.003628
47,9,21,28,954000000.0,69.16547513,39.316807,47.46203
23,25,26,43,454.0,69.77476263,39.308353,47.453553
25,5,37,11,298000000000.0,69.38104963,38.607421,46.776378
28,36,14,36,1140000000.0,69.43861032,36.694342,44.927006
4,47,32,21,0.00667731320326925,69.6860671,14.313144,23.290592
50,25,33,50,0.16,70.06279302,39.317091,47.462082
25,20,36,42,3430.0,68.93512869,39.319113,47.464048
13,11,48,13,92300000.0,69.17549849,34.726081,43.023857
22,23,6,28,0.00884108909743404,70.36034703,19.903426,28.693645
6,30,12,6,0.0005880140556179483,67.17083335,19.818904,28.61535
17,33,10,24,304000000000.0,69.12429833,28.734977,37.233188
15,29,11,31,7180000000.0,69.25017095,30.746456,39.176999
5,44,30,40,0.0017424751963416234,68.98651218,16.924582,25.816562
29,51,51,13,138000000.0,70.09579849,39.290205,47.436246
43,36,20,40,286000.0,69.70868635,39.300574,47.446149
32,38,13,47,4520000000.0,68.93241572,34.725299,43.023503
50,47,33,42,0.00421,70.24508548,39.319512,47.464493
12,49,15,51,2080000000.0,69.39208078,32.753352,41.117259
19,52,44,40,6520.0,68.95169187,39.290854,47.436977
7,43,23,29,0.0001112038098038709,70.09561801,22.33173,31.043411
26,40,26,40,69.6,70.45337605,39.318358,47.463508
33,32,21,17,76100.0,69.951401,39.315451,47.460753
26,24,45,45,12.8,67.72716498,39.301462,47.446662
4,35,9,46,0.007982557385753455,67.88464284,14.164143,23.146586
45,23,33,16,237000.0,68.39462161,39.308982,47.454459
25,20,50,13,138000000.0,68.63602948,39.292023,47.438059
16,5,35,42,28900000000.0,69.14919639,38.826005,46.98759
17,47,16,35,7210000.0,69.16479611,38.826651,46.988063
17,25,35,40,1070000.0,69.27197123,39.183658,47.333031
8,30,14,6,0.000350700253541526,68.60317349,24.538444,33.175469
44,33,29,44,1.05,67.95000958,39.32056,47.46551
26,41,24,13,138000000.0,68.50989676,39.291484,47.437518
44,19,39,32,1360.0,68.89539528,39.301906,47.446957
15,31,15,36,289000000.0,68.92235374,38.116261,46.301488
30,17,8,51,0.0004830896218867906,69.21882486,24.515942,33.15482
40,31,35,14,34800000.0,69.78639269,39.276053,47.422292
46,32,5,46,0.0366085943611441,66.92110181,17.830487,26.690082
44,51,19,50,1100000.0,68.74276614,39.292228,47.438061
46,16,21,4,0.0020840001060303103,69.38874578,25.824974,34.420092
50,52,12,37,18200000000.0,69.45477629,32.740984,41.105057
30,52,50,13,138000000.0,69.41969442,39.29143,47.43747
41,5,48,17,289000000000.0,69.70835519,39.322982,47.467992
37,49,23,50,4360.0,69.37855625,39.31619,47.461279
