var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
47,11,46,45,18,48,39,0.0,74.50299263000488,12.007615,24.086851
38,28,11,15,30,27,44,0.0,74.5423059463501,12.007327,24.086563
51,9,24,32,49,9,26,0.0,74.70929408073425,12.00846,24.087696
51,3,31,48,12,16,25,0.0,74.80056953430176,12.008461,24.087697
22,3,11,6,13,26,32,0.0,74.90071392059326,12.00846,24.087696
3,49,42,18,46,42,43,0.0,75.12669634819031,12.005678,24.084914
10,28,6,38,47,42,51,0.0,75.1800320148468,12.008461,24.087697
10,20,16,29,48,15,15,0.0,75.352703332901,12.006103,24.085339
3,28,4,10,39,41,27,0.0,75.39884305000305,12.00846,24.087696
23,12,3,20,16,10,17,0.0,75.66127920150757,12.007798,24.087034
5,38,29,37,42,47,20,1.797724337937167e+58,95.79933786392212,47.261993,59.842524
29,40,5,43,29,51,26,9.197261991224787e+56,95.97529649734497,49.219192,61.538605
7,47,14,46,31,52,28,1.9284262349555581e+58,96.36692833900452,49.219305,61.734556
13,35,17,25,35,25,44,1.9015062525939762e+58,96.40832352638245,47.260187,59.840718
26,5,49,25,19,32,35,2.0544534601370785e+58,96.93366956710815,49.217314,61.732565
49,40,43,5,19,38,13,3.6688251794636064e+56,97.27355599403381,47.261997,59.64669
52,26,41,28,38,30,16,1.9015011675498724e+58,97.40196776390076,49.220522,61.735773
4,3,26,16,50,24,43,0.0,74.24245047569275,11.999931,24.079167
33,17,9,52,7,5,6,0.0,74.17109537124634,12.000584,24.07982
3,50,3,13,13,33,22,0.0,74.442138671875,12.000267,24.079503
9,30,31,8,34,46,26,0.0,74.82662081718445,12.000586,24.079822
23,52,8,36,31,45,46,1.6384032639954928e+58,95.2447862625122,49.212647,61.727898
34,3,15,52,52,44,7,0.0,74.25169444084167,12.000586,24.079822
27,25,44,37,51,22,49,1.901652292825869e+58,95.41153573989868,48.394036,60.935191
36,52,29,14,7,47,27,1.880670804075577e+58,97.17766451835632,49.211992,61.727243
38,47,34,34,26,20,28,1.9016519375513346e+58,95.75187420845032,48.926394,61.453411
27,47,24,45,32,43,36,1.9016567324715e+58,95.22094082832336,48.588629,61.124168
37,11,34,47,27,50,28,0.0,74.408456325531,12.000269,24.079505
10,18,31,26,11,28,23,0.0,74.54991722106934,11.999964,24.0792
5,48,10,23,22,31,42,0.0,74.6153335571289,12.000587,24.079823
52,20,33,37,41,52,46,1.901651617997026e+58,96.7112090587616,48.649229,61.183142
21,43,13,46,30,22,46,1.9229103764546517e+58,95.91441798210144,49.212161,61.727412
41,49,17,19,34,23,33,1.901532305897927e+58,96.41541242599487,49.212648,61.727899
11,9,16,50,42,9,16,0.0,74.39381456375122,12.000755,24.079991
11,48,42,15,9,52,34,0.0,74.26367330551147,12.000756,24.079992
39,15,11,11,21,32,5,0.0,74.53953003883362,12.000787,24.080023
40,26,3,13,34,8,32,0.0,74.24788641929626,12.000755,24.079991
25,8,8,47,33,41,8,1.6206152812069474e+58,95.92211723327637,49.212845,61.728096
37,32,24,48,31,19,31,1.9016580319347266e+58,95.67284488677979,48.628997,61.163492
9,42,46,15,9,19,52,0.0,74.31569314002991,12.000786,24.080022
3,10,41,47,4,7,28,0.0,74.11154055595398,12.000785,24.080021
35,15,24,17,35,34,36,1.9029896754042e+58,96.24696326255798,49.212848,61.728099
21,42,51,40,34,12,18,1.902193473044228e+58,95.4934184551239,45.295849,57.94166
39,40,42,28,29,14,43,1.9016153386604502e+58,95.67895460128784,47.254448,59.834979
7,22,23,29,8,44,7,1.9284262349555581e+58,95.6130199432373,49.212814,61.728065
29,13,46,46,48,52,34,1.9022228616553825e+58,95.53057479858398,48.577873,61.114218
49,17,27,36,46,8,14,1.8949343920708104e+58,96.77370262145996,49.212339,61.72759
41,48,15,13,41,40,33,1.919086366472911e+58,96.69513583183289,47.254417,59.834948
16,39,11,44,6,34,14,0.0,74.21132302284241,12.000787,24.080023
21,41,8,48,30,5,52,1.7449385159975008e+58,96.05662941932678,49.212815,61.728066
4,45,33,25,21,44,26,2.0637141634482788e+58,95.23938798904419,49.206241,61.721492
34,3,52,33,27,14,5,0.0,74.32485485076904,12.001754,24.08099
44,42,8,41,14,13,43,1.638403009274454e+58,96.98937344551086,48.651618,61.185685
44,9,39,31,48,13,41,0.0,74.18571043014526,12.001755,24.080991
52,26,51,13,27,5,5,2.0728605097440016e+58,95.7348964214325,49.213783,61.729034
51,42,34,14,8,14,48,1.880670804075577e+58,96.65122127532959,49.20551,61.720689
31,20,44,51,51,17,20,1.9016641629071751e+58,96.07553958892822,49.147382,61.664577
26,40,51,28,52,8,12,1.897006839910163e+58,96.45694923400879,49.205269,61.72052
12,14,26,38,14,40,17,1.902538137666615e+58,94.90198564529419,49.205615,61.720866
35,48,45,48,45,7,48,1.894960016127208e+58,95.2182195186615,48.577209,61.11236
29,12,41,44,28,45,33,1.9022228618993688e+58,95.67277193069458,48.571095,61.107338
48,46,19,50,27,39,36,1.9016042935039856e+58,95.8476243019104,48.620405,61.155014
43,49,5,48,46,18,21,9.197254118142658e+56,96.08076095581055,47.742933,60.120389
47,21,19,38,8,24,20,1.895182472658484e+58,96.59734034538269,48.480404,61.017075
31,20,21,52,15,16,17,1.9016736240032538e+58,95.42709040641785,47.250233,59.830764
27,45,15,20,29,46,26,1.897598915184621e+58,95.57857370376587,49.20929,61.724541
28,28,36,46,42,34,15,1.901500569309837e+58,95.01862096786499,47.888086,60.450839
36,4,49,8,27,28,28,2.0637141634482788e+58,96.41280221939087,49.210959,61.72621
44,47,30,22,24,19,28,1.9016955856574224e+58,96.09728956222534,49.193594,61.719399
