var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
26,5,49,25,19,32,35,1.5125179461679174e-11,1050.871122,49.220883,61.736236
40,26,3,13,34,8,32,0.9999499203806093,815.4186692,12.002264,19.890738
26,40,51,28,52,8,12,1487581305.093889,740.1849995,49.218336,61.733689
51,47,3,20,39,47,12,0.9999499302884255,529.6249719,11.9922,19.880674
37,12,19,8,47,19,26,3.8074987784078486e-07,660.346046,47.259936,59.840569
27,29,42,39,18,25,27,2.0472178315766717e-11,657.8922055,47.98028,60.533463
8,52,26,36,8,25,33,12033.027320941714,650.784375,47.250216,59.830849
10,7,4,22,29,20,4,0.999958252524743,526.5048938,12.008016,19.89649
48,11,43,9,39,11,42,53292116.552489154,528.9148862,12.008151,19.896625
24,17,44,19,23,19,44,9.251905210270476e-12,665.6312447,49.215875,61.731228
43,9,43,6,36,4,21,0.9999499363232432,526.0013659,12.008016,19.89649
18,3,43,43,44,28,24,0.03300084172137319,526.8111365,11.98988,19.878354
30,30,42,26,12,14,13,5280.492635075247,672.9279895,49.218336,61.733689
32,22,45,46,46,49,13,1.8775729191351508e-07,669.4131651,49.213584,61.728937
40,52,18,7,42,48,30,1.4343885341711448e-06,674.1700661,49.20724,61.722593
39,47,26,37,23,29,27,2.3627178540685876e-14,674.9438853,48.505196,61.044229
16,45,35,24,14,32,39,0.06600166695680967,660.3833742,49.218517,61.73387
51,3,42,25,33,19,33,0.03300084217398228,515.9660859,12.00396,19.892434
23,30,42,17,25,33,42,1.5525759010191872e-12,776.4793916,49.218336,61.733689
31,40,28,21,6,24,6,944738176.3328681,786.6630886,49.19792,61.713273
34,7,37,39,13,37,37,2639.9648535247265,789.9776165,49.218336,61.733689
42,48,32,38,23,20,25,2.343416284658252e-12,777.4477317,48.932916,61.459757
47,48,12,31,6,25,43,958043005.183416,766.4541531,49.20496,61.720313
22,40,12,33,24,13,18,3959.143680377277,766.720526,49.218336,61.733689
38,46,7,18,33,15,31,1593686360.4271495,766.5256958,49.218336,61.733689
7,14,4,23,24,18,14,0.9999498840071935,742.8468392,47.2536,59.638393
32,16,17,46,27,8,14,1487581303.789506,737.3109779,49.218336,61.733689
11,34,18,47,31,50,22,1322.1683625859819,598.8655417,12.008016,19.89649
34,9,47,13,52,48,13,1.8879595339230636e-07,586.5684757,12.008059,19.896533
6,20,48,18,29,36,43,105039602.63993129,750.0638318,49.218336,61.733689
6,43,26,12,41,44,15,105039599.5354937,754.3664024,49.203081,61.718434
21,9,6,50,14,44,43,1593689294.4481168,595.3717763,12.008131,19.896605
35,14,25,17,23,21,47,2.5144719036750897e-12,762.9175105,49.218336,61.733689
4,33,17,30,25,36,28,1006146810.7661889,739.0392122,49.217469,61.732822
13,38,41,20,40,35,19,5.0513084056522195e-08,757.7128992,47.259936,59.840569
46,10,26,13,49,21,31,3.4579142007759473e-10,600.2107038,12.008016,19.89649
6,9,20,42,52,17,26,105039602.63993129,583.6359193,12.006608,19.895082
11,46,43,7,43,24,10,1329.2705077104279,581.9594028,12.008016,19.89649
7,45,36,18,48,36,44,5316.361963316059,752.1383142,49.20144,61.716793
28,49,15,21,8,38,40,11881.205147964258,760.3046615,47.259936,59.840569
47,21,33,41,27,48,15,9.879088075458197e-09,758.1496346,48.615504,61.151583
41,50,47,41,41,21,16,2.928036440209269e-09,735.2016051,48.62108,61.156347
13,4,28,45,39,26,41,4.966169829028046e-08,752.4796131,49.218336,61.733689
8,31,39,46,19,40,43,2675.647932117556,739.1627319,47.25712,59.837753
44,47,11,42,23,8,4,1469584925.676477,585.2434733,11.989712,19.878186
31,8,24,48,37,32,50,2.3906127396894145e-13,738.1246796,49.218336,61.733689
17,41,12,46,36,51,31,0.0660019233608575,740.0536659,47.259936,59.840569
40,45,32,34,37,35,6,0.0020418938663405396,762.4311638,49.207072,61.722425
14,47,44,17,33,21,15,0.03300090478588872,753.1693821,49.218336,61.733689
39,35,39,13,48,4,40,0.9999499203806093,758.7556677,49.218336,61.733689
33,37,15,44,40,20,7,0.0005566285901627317,735.4153156,49.142642,61.660213
51,40,52,6,18,17,37,0.03300703705436437,765.1139874,47.240224,59.625017
9,11,28,27,20,3,5,0.9999708630196774,593.5125835,12.008016,19.89649
35,5,9,15,51,11,22,956224544.792761,594.2161813,12.008016,19.89649
14,25,32,37,24,47,48,0.033000872731775856,740.2598183,49.218336,61.733689
6,7,8,35,6,50,7,1580166398.6766868,725.4517498,47.259936,59.840569
10,14,11,27,33,5,27,0.8361136888960096,592.3720157,12.002384,19.890858
41,18,35,6,37,49,5,0.008571985174863817,747.6770945,47.259936,59.644729
9,51,28,5,3,9,23,1602745881.54377,586.5463946,11.986896,19.89649
3,50,3,23,15,18,48,1000.0,590.9637935,12.008016,19.89649
