var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
51,9,24,32,49,9,26,0.0,76.8371048,12.019385,19.907481
51,3,31,48,12,16,25,0.0,77.33784461,12.020196,19.908291
38,28,11,15,30,27,44,0.0,77.92289448,12.016933,19.905029
3,28,4,10,39,41,27,0.0,77.87203288,12.023468,19.911564
22,3,11,6,13,26,32,0.0,78.10922098,12.021011,19.909106
10,28,6,38,47,42,51,0.0,78.10918665,12.021832,19.909928
47,11,46,45,18,48,39,0.0,79.26289606,12.014489,19.902584
10,20,16,29,48,15,15,0.0,79.34587646,12.012323,19.900587
23,12,3,20,16,10,17,0.0,79.34778214,12.015298,19.903394
3,49,42,18,46,42,43,0.0,79.94556737,12.011849,19.900112
29,40,5,43,29,51,26,9.2e+71,91.59103656,49.223988,61.543291
13,35,17,25,35,25,44,1.9e+74,91.76003718,47.264768,59.84519
26,5,49,25,19,32,35,2.05e+74,92.56036258,49.221689,61.736831
49,40,43,5,19,38,13,3.67e+72,92.82264042,47.276202,59.660784
5,38,29,37,42,47,20,1.8e+73,93.08110476,47.277019,59.857442
7,47,14,46,31,52,28,1.93e+74,93.97097659,49.228891,61.744034
52,26,41,28,38,30,16,1.9e+74,94.77327323,49.232964,61.748106
33,17,9,52,7,5,6,0.0,67.91997933,12.017079,19.905175
9,30,31,8,34,46,26,0.0,68.1291039,11.995966,19.905181
3,50,3,13,13,33,22,0.0,68.23393154,12.016654,19.90475
4,3,26,16,50,24,43,0.0,68.93777966,12.017082,19.905178
37,11,34,47,27,50,28,0.0,66.04320836,12.017082,19.905178
23,52,8,36,31,45,46,1.64e+74,81.88700342,49.209629,61.724771
5,48,10,23,22,31,42,0.0,66.46631646,11.998645,19.886909
27,25,44,37,51,22,49,1.9e+73,83.49616933,48.408792,60.949839
36,52,29,14,7,47,27,1.88e+74,84.46325159,49.227402,61.742546
38,47,34,34,26,20,28,1.9e+74,84.12099862,48.941145,61.468053
34,3,15,52,52,44,7,0.0,68.59878159,11.99918,19.887443
10,18,31,26,11,28,23,0.0,68.25975323,12.017082,19.905178
27,47,24,45,32,43,36,1.9e+74,83.55384183,48.603609,61.139039
52,20,33,37,41,52,46,1.9e+73,84.62108922,48.664641,61.198446
21,43,13,46,30,22,46,1.92e+74,80.94563484,49.227399,61.742542
41,49,17,19,34,23,33,1.9e+74,82.01685071,49.20735,61.722493
11,9,16,50,42,9,16,0.0,68.27196002,12.00559,19.893853
11,48,42,15,9,52,34,0.0,66.49763966,12.008273,19.896537
39,15,11,11,21,32,5,0.0,68.88922691,12.011346,19.899609
40,26,3,13,34,8,32,0.0,67.84457517,12.001843,19.890107
3,10,41,47,4,7,28,0.0,67.64230466,12.011351,19.899614
35,15,24,17,35,34,36,1.9e+71,82.13828063,49.22167,61.736812
25,8,8,47,33,41,8,1.62e+74,82.49240851,49.221662,61.736804
9,42,46,15,9,19,52,0.0,66.90253401,12.009882,19.898145
37,32,24,48,31,19,31,1.9e+74,83.29591727,48.62888,61.163266
21,42,51,40,34,12,18,1.9e+73,81.61558867,45.301798,57.947502
29,13,46,46,48,52,34,1.9e+74,80.99111247,48.57936,61.115597
39,40,42,28,29,14,43,1.9e+72,82.15367723,47.263266,59.843688
16,39,11,44,6,34,14,0.0,66.41779923,12.011342,19.899607
7,22,23,29,8,44,7,1.93e+74,81.63952065,49.213774,61.728917
41,48,15,13,41,40,33,1.92e+74,83.36591196,47.259119,59.839541
49,17,27,36,46,8,14,1.89e+74,84.80065942,49.220229,61.735372
21,41,8,48,30,5,52,1.74e+74,82.11784053,49.216983,61.732125
4,45,33,25,21,44,26,2.06e+74,82.18604875,49.215375,61.730517
34,3,52,33,27,14,5,0.0,68.49004149,12.013026,19.901121
44,9,39,31,48,13,41,0.0,65.35908389,12.012363,19.900459
52,26,51,13,27,5,5,2.07e+74,82.37054682,49.221664,61.736807
44,42,8,41,14,13,43,1.64e+73,84.12745547,48.659495,61.193454
26,40,51,28,52,8,12,1.9e+73,81.24712896,49.221665,61.736807
31,20,44,51,51,17,20,1.9e+73,81.4758389,49.163869,61.681028
35,48,45,48,45,7,48,1.89e+74,81.29512548,48.594027,61.129069
48,46,19,50,27,39,36,1.9e+74,83.2694838,48.638579,61.17308
51,42,34,14,8,14,48,1.88e+74,83.20376921,49.224023,61.739165
29,12,41,44,28,45,33,1.9e+74,82.15797782,48.586977,61.123111
12,14,26,38,14,40,17,1.9e+73,80.92898798,49.22167,61.736812
43,49,5,48,46,18,21,9.2e+71,82.4387219,47.759981,60.128217
28,28,36,46,42,34,15,1.9e+74,82.06593347,47.901979,60.464623
47,21,19,38,8,24,20,1.9e+74,84.58691502,48.495606,61.032168
31,20,21,52,15,16,17,1.9e+74,81.67958379,47.263267,59.843689
27,45,15,20,29,46,26,1.9e+74,81.2108295,49.221837,61.73698
36,4,49,8,27,28,28,2.06e+74,82.53489995,49.221666,61.736808
51,47,3,20,39,47,12,0.0,66.2644608,12.013362,19.901459
44,47,30,22,24,19,28,1.9e+74,83.12993503,49.210974,61.726248
13,36,3,10,23,47,19,0.0,66.97590351,11.993069,19.902284
11,48,51,17,13,22,42,0.0,66.58748388,12.008275,19.896538
16,17,13,27,19,4,8,1.74e+74,82.22963715,49.206218,61.72136
34,5,35,52,50,5,16,2.05e+71,81.87704086,49.218059,61.733202
42,35,14,29,44,17,46,1.9e+73,82.63015628,49.214309,61.729451
15,21,33,16,51,51,21,1.9e+73,82.05163121,47.253761,59.834184
11,22,30,50,8,6,10,0.0,68.05175757,12.00881,19.897073
46,42,17,7,14,17,47,5.87e+71,83.84873366,49.207255,61.722397
40,17,42,23,32,30,42,1.9e+74,82.95800781,49.220798,61.73594
21,30,39,24,6,23,51,1.89e+74,81.80652475,49.210443,61.725585
37,5,44,52,4,30,52,2.4e+73,82.02288771,48.043491,60.597917
38,16,8,18,52,33,4,2.1e+74,82.48414493,49.208504,61.723646
48,22,40,27,35,31,17,1.9e+74,84.14657116,49.204978,61.72012
23,36,35,12,51,47,42,1.86e+74,81.87094641,49.22167,61.736812
10,22,6,14,52,43,27,0.0,67.24282932,12.011348,19.899613
23,52,12,28,8,17,46,1.9e+73,80.96667361,45.304864,57.950566
37,12,19,8,47,19,26,2.26e+73,82.24566555,47.26234,59.842762
46,19,41,7,12,33,48,5.87e+71,82.39071465,49.221669,61.736812
20,35,19,18,36,18,13,1.9e+73,82.16462541,47.263268,59.84369
7,12,37,20,7,46,37,1.93e+74,81.51713157,49.221671,61.736813
11,52,7,10,29,8,17,0.0,66.9032681,12.011341,19.899605
14,42,10,36,45,45,29,0.0,66.13613033,12.011346,19.89961
4,34,19,41,35,16,4,2.06e+74,80.64500594,49.22167,61.736812
6,50,50,51,22,38,33,1.93e+74,81.6069839,49.221666,61.736809
7,3,19,35,35,10,46,0.0,66.29041958,12.011348,19.899611
17,27,17,48,16,31,4,2.1e+74,81.87531257,49.221673,61.736815
48,47,4,6,46,42,29,2.29e+70,83.13386965,47.262877,59.45162
12,4,16,23,25,32,47,1.74e+74,81.01354814,49.221666,61.736808
10,38,20,35,7,33,8,0.0,67.1602056,12.011342,19.899605
10,37,46,12,34,30,23,0.0,67.58015823,12.011345,19.899609
20,47,40,28,14,30,26,1.9e+73,82.40312624,49.22234,61.737483
11,40,9,28,27,35,17,0.0,66.38588095,12.011344,19.899608
38,11,37,29,10,5,5,0.0,67.15021849,11.993354,19.881618
31,40,12,16,40,20,48,1.9e+73,82.45677137,49.221672,61.736815
15,14,36,13,22,39,32,1.92e+74,81.81243777,49.221666,61.736811
27,29,42,39,18,25,27,1.9e+73,81.83400559,47.983608,60.53658
23,35,27,49,14,23,31,1.9e+74,81.73769283,49.221662,61.736807
47,48,41,32,49,17,45,1.9e+73,82.16214919,49.221662,61.736805
13,33,9,50,41,37,34,0.0,67.09174228,12.011351,19.899614
52,36,32,41,13,37,23,1.9e+74,83.75575757,48.632045,61.166826
38,21,13,50,46,48,52,1.92e+73,81.70367384,48.656694,61.190414
10,43,28,12,47,28,14,0.0,66.7926476,12.01135,19.899613
51,35,36,41,34,29,18,1.9e+74,84.54947209,48.661506,61.194473
45,23,47,39,44,29,36,1.9e+74,83.81230283,48.751074,61.281516
33,44,38,41,50,8,8,1.91e+74,81.29107618,49.150676,61.668036
15,27,14,4,22,25,24,9.17e+70,82.01807618,49.221667,61.54097
50,18,13,16,40,5,5,2.1e+74,82.81230211,49.221667,61.73681
35,15,10,38,46,5,50,0.0,66.73464727,12.0093,19.897564
29,6,16,51,22,48,41,1.89e+74,82.48278284,49.221664,61.736806
13,39,45,13,6,20,38,1.92e+74,78.86830926,47.262878,59.8433
6,35,4,33,15,52,23,2.15e+72,81.09790993,47.263264,59.647846
49,12,13,50,52,8,22,1.93e+73,83.86775231,48.627808,61.162208
50,34,9,14,28,16,22,0.0,67.23093748,11.999342,19.887606
50,12,41,45,23,21,30,1.9e+74,85.57541966,48.598452,61.134253
8,52,26,36,8,25,33,1.91e+74,81.81413245,47.248443,59.828866
12,32,49,44,30,30,6,1.91e+74,81.24476504,49.218449,61.733592
9,26,45,47,7,40,28,0.0,67.1233561,11.997227,19.885491
36,52,45,43,22,16,4,2.1e+74,81.71696448,48.620297,61.156065
15,16,37,50,19,46,48,1.9e+74,81.54746842,49.220735,61.735878
11,14,51,5,9,44,34,0.0,66.81569695,12.011344,19.899608
28,6,18,44,47,48,41,1.9e+74,81.66415501,49.217043,61.732186
18,30,38,45,4,22,52,1.74e+74,83.2584343,49.221669,61.736811
32,35,23,36,51,5,21,2.05e+73,81.65019107,49.215442,61.730585
35,29,46,6,5,30,14,1.47e+73,82.52082443,47.263263,59.647845
5,9,24,50,21,38,28,0.0,66.86735988,12.011347,19.899611
31,26,7,46,23,32,23,1.41e+74,81.67757654,47.263259,59.843683
21,34,12,26,29,43,50,1.9e+74,81.10924339,49.221662,61.736804
21,18,41,36,30,52,4,2.1e+74,82.13909769,49.221668,61.736811
10,7,4,22,29,20,4,0.0,66.50252199,12.011345,19.899609
40,45,34,49,29,12,15,1.9e+74,81.79931402,48.637836,61.17258
51,40,40,29,26,23,8,1.91e+74,82.15011787,47.263265,59.843687
8,5,35,44,25,6,7,2.1e+74,81.30930805,49.221665,61.736808
24,37,3,51,34,52,24,0.0,67.47587085,12.011336,19.8996
23,5,10,28,6,24,24,0.0,67.62559509,12.011348,19.899612
25,25,49,42,17,46,45,1.9e+74,82.20185065,47.274489,59.854912
12,9,42,14,6,38,27,0.0,67.36706781,12.011484,19.899747
