var_0,var_1,var_2,error,time,memory_mean,memory_peak
33,13,7,0.0001917845863152,29.279321432113647,2.511112,7.895937
6,49,36,6.7769742559495185e-22,29.53189969062805,6.082891,11.348686
14,26,9,1.1998692677200518e-05,29.800278186798096,3.067306,8.433452
26,24,15,2.957831323499228e-09,29.7865948677063,4.855933,10.162535
14,6,18,0.0002154469284498,29.768644094467163,5.721587,10.999363
4,45,27,1.7641212516002256e-16,29.927372932434082,6.082895,11.348634
32,51,24,1.1448067825875084e-14,29.954092025756836,6.082288,11.348099
4,45,8,4.8226162971892046e-05,30.05047369003296,2.782684,8.158368
39,11,35,2.0863863842762345e-07,30.080565452575684,6.082022,11.347736
39,11,49,2.086386386996677e-07,30.073729753494263,6.084023,11.349818
24,42,44,6.062461940945078e-26,30.24431824684143,6.083229,11.34899
5,42,17,1.8390024074525563e-10,30.28666639328003,5.444373,10.73145
18,38,40,1.6120737640510216e-23,30.176859855651855,6.083572,11.349294
40,21,51,1.9846780746739795e-13,30.231658697128296,6.084075,11.349817
5,32,37,4.856063167230856e-20,30.25719404220581,6.083725,11.349516
17,39,30,2.730569219952429e-18,30.494527339935303,6.080938,11.346629
20,8,17,1.3590883401347223e-05,30.548109769821167,5.446655,10.733686
10,35,21,7.178289651477003e-13,30.226473808288574,6.073656,11.339813
33,18,33,1.3095405424226484e-11,30.607649326324463,6.083433,11.349148
18,15,46,8.17185413525306e-10,30.741607189178467,6.083343,11.349001
4,36,42,1.8819947044483025e-22,29.829068422317505,6.076444,11.342139
19,30,51,7.645128837323794e-19,29.763107776641846,6.075887,11.341654
18,25,5,0.0030071220838267,29.50574779510498,2.062145,7.461614
16,37,7,0.0001927338793342,29.58521842956543,2.503449,7.888271
23,17,7,0.0001930050559832,29.779865980148315,2.503292,7.888123
36,48,17,1.8390024074525563e-10,29.882086753845215,5.440419,10.72744
4,45,29,1.0950379672252509e-17,29.689854383468628,6.076206,11.341946
21,23,43,1.2365549892322908e-14,29.600940942764282,6.07623,11.341975
22,20,20,2.9115209127346695e-12,29.84609866142273,6.01816,11.285781
52,39,42,3.3889610832229076e-24,30.13037419319153,6.076186,11.34187
25,43,15,2.957831323499228e-09,29.731055974960327,4.84783,10.154436
49,33,33,4.3634222788587956e-20,29.862660884857178,6.076659,11.342361
8,15,16,1.5640484787781147e-09,29.791378498077393,5.147482,10.444259
51,50,41,6.593690389370546e-25,30.083972215652466,6.076447,11.342204
49,5,36,0.0008512107474805,30.356005430221558,6.075461,11.341234
9,41,21,7.178289651477003e-13,29.96115493774414,6.066198,11.332355
11,23,42,1.2365544766209863e-14,29.862387657165527,6.076359,11.342176
40,40,28,4.388700263663898e-17,29.736841917037964,6.075654,11.341415
47,13,51,1.3264049969760722e-08,30.361693143844604,6.076462,11.342242
15,6,45,0.0002154396594548,30.12247323989868,6.076456,11.342095
12,13,8,4.89115395665232e-05,29.930792570114136,2.776838,8.152482
27,43,7,0.0001927338793342,30.081008434295654,2.504136,7.888958
39,32,30,3.3535681632508522e-18,29.569449186325073,6.076817,11.342492
19,27,32,4.915243367558564e-17,29.999460220336914,6.076407,11.342112
7,15,52,8.171854134258418e-10,30.086386680603027,6.076703,11.342491
31,35,15,2.957831323499228e-09,30.491411685943604,4.848686,10.155292
22,51,12,1.86860426827528e-07,30.253663539886475,3.951156,9.287793
47,41,35,2.6910938562293858e-21,29.85168766975403,6.076371,11.342154
36,39,43,3.1023469342029544e-24,30.348556518554688,6.076417,11.342125
20,44,33,4.3634222788587956e-20,29.811925411224365,6.076861,11.342565
7,35,39,8.021228634834361e-22,30.428285360336304,6.076775,11.342463
46,30,52,7.645128356947852e-19,30.409236192703247,6.076769,11.342511
47,15,44,8.171854131086586e-10,29.93523931503296,6.076682,11.342309
35,13,46,1.3264049969600044e-08,29.87108325958252,6.076846,11.342495
40,48,12,1.86860426827528e-07,30.46020269393921,3.951187,9.287824
42,40,28,4.388700263663898e-17,29.929041862487793,6.076478,11.342239
19,5,4,0.0186003590436044,29.92561149597168,1.979492,7.381708
52,41,40,3.965246917739698e-24,30.60185718536377,6.076525,11.342226
5,26,14,1.1836337436275304e-08,30.45811700820923,4.550638,9.86727
39,4,51,0.0033111023036567,30.583069801330566,6.076678,11.342462
49,45,22,1.8014885731785374e-13,28.854053258895874,6.068249,11.334307
10,29,39,3.0394713342390942e-18,28.983480215072632,6.077763,11.343441
7,19,13,4.8505887401436176e-08,28.986713886260986,4.251446,9.578082
45,25,13,4.7658098278548486e-08,29.035217761993408,4.251269,9.577892
38,39,6,0.0007685882049677,28.719871282577515,2.257844,7.650984
45,48,11,7.495123531643643e-07,28.886650562286377,3.654214,9.000657
43,16,48,2.0399246749193302e-10,28.92453622817993,6.077941,11.343686
11,11,24,2.086377499157921e-07,28.89355778694153,6.076124,11.341912
10,17,14,1.3095985661516136e-08,29.04004406929016,4.551988,9.868642
22,31,32,3.8235427695666074e-19,29.125866174697876,6.077796,11.343525
14,6,50,0.0002154396594549,28.971901655197144,6.077512,11.343281
48,27,5,0.0030071220838267,29.251908540725708,2.063313,7.462782
24,18,22,1.3538420895271364e-11,29.582257747650146,6.068589,11.334483
6,34,51,2.9846466183297324e-21,29.659509897232056,6.077748,11.343513
48,42,22,1.8014885731785374e-13,29.676204681396484,6.068249,11.334307
22,44,36,6.800994347591211e-22,29.667728424072266,6.077157,11.342949
50,47,36,6.7769742559495185e-22,29.729944229125977,6.077121,11.342916
44,19,32,3.2195420443794004e-12,29.812512397766113,6.077838,11.343469
8,23,22,2.694918064930608e-13,29.71906018257141,6.067847,11.333982
36,40,45,7.397727107471488e-25,29.75285267829895,6.078046,11.343749
14,34,41,2.9873232250275665e-21,30.06725549697876,6.074366,11.340143
10,49,22,1.8014885731785374e-13,30.07654309272766,6.069442,11.3355
29,4,35,0.0033111023039931,30.113606452941895,6.078638,11.344362
13,42,38,4.289829337381863e-23,30.606683254241943,6.078765,11.344535
35,21,8,4.8226162971892046e-05,30.17779517173767,2.778785,8.154469
13,12,21,5.2116544203264465e-08,30.159812927246094,6.069503,11.335498
8,9,32,3.412344271067456e-06,30.62950611114502,6.079007,11.344712
6,48,26,7.10438518507211e-16,30.657225847244263,6.07883,11.34461
15,50,14,1.1836337436275304e-08,30.444652795791626,4.552995,9.869629
42,22,31,4.9479308646238766e-14,29.962545156478882,6.078918,11.344709
26,41,51,1.8217585777676108e-25,30.903122663497925,6.078487,11.344267
37,23,31,1.2387581497844122e-14,30.272701740264893,6.078827,11.34458
31,18,26,1.3100242429006838e-11,30.24579906463623,6.078745,11.344474
39,28,18,4.6043852629517246e-11,30.59613800048828,5.716729,10.994655
33,24,25,6.116577639478282e-15,30.352660179138184,6.074388,11.340166
40,43,7,0.0001927338793342,30.766441822052002,2.506328,7.89115
27,42,20,2.9115209127346695e-12,30.59862208366394,6.020521,11.288142
45,4,38,0.0033111023036388,30.245606184005737,6.078797,11.344565
10,6,47,0.0002154396594549,30.94093132019043,6.079245,11.345028
29,6,39,0.0002154396594522,30.24449324607849,6.073666,11.339524
24,32,5,0.0030071220838267,28.80720853805542,2.065242,7.464711
25,16,7,0.0001924186508252,28.7485568523407,2.505069,7.88996
27,33,52,1.212249307983402e-20,29.33031678199768,6.077717,11.34346
33,15,17,1.1047008439411315e-09,29.044419050216675,5.441603,10.728628
11,19,35,3.2195602447188733e-12,29.591233015060425,6.079537,11.345245
15,38,10,3.016127331824935e-06,29.618446111679077,3.358783,8.715195
17,45,44,1.5397885199213402e-26,29.053818225860596,6.076404,11.342207
22,16,38,2.0399246813510332e-10,29.14087176322937,6.079598,11.345336
45,25,31,7.934108886218429e-16,29.33621096611023,6.079596,11.345306
21,41,5,0.0030071220838267,28.88841152191162,2.061489,7.461014
21,47,45,3.037373975683035e-27,29.202720642089844,6.077198,11.34302
51,9,42,3.412344354936221e-06,29.197697639465332,6.077751,11.343501
5,11,34,2.0863864366064067e-07,29.47543692588806,6.079701,11.345419
11,40,21,7.178289651477003e-13,29.559284925460815,6.069615,11.335772
50,9,25,3.412339333726546e-06,29.643977165222168,6.078623,11.344386
42,35,14,1.1836337436275304e-08,28.66427445411682,4.553731,9.870365
30,37,20,2.9115209127346695e-12,29.610256671905518,6.017048,11.284725
7,45,25,2.8167305561026333e-15,28.903494834899902,6.079013,11.34473
7,28,20,2.9032516572137487e-12,29.959664821624756,6.021273,11.288893
18,20,48,7.974918967884253e-13,29.638840675354004,6.077841,11.343565
21,9,34,3.4123443416337366e-06,29.48792552947998,6.071689,11.337459
51,40,25,2.8167305561026333e-15,29.988016843795776,6.070146,11.335919
34,46,10,3.016127331824935e-06,29.537139654159546,3.35079,8.707258
48,43,36,6.800994347591211e-22,30.008934259414673,6.071095,11.336943
10,5,29,0.0008512107395502,30.090392351150513,6.071606,11.337394
17,50,27,1.7641212516002256e-16,29.637763261795044,6.071342,11.337137
26,8,17,1.3590883401347223e-05,30.063349723815918,5.437906,10.724937
17,9,18,3.414284469149865e-06,29.98938226699829,5.710687,10.988462
35,23,7,0.0001927338793342,29.85050940513611,2.499041,7.883919
26,31,42,1.9134869865944172e-19,30.060751914978027,6.069375,11.33515
29,14,5,0.0030197903150504,29.536344051361084,2.054703,7.454226
8,21,23,2.748597990368739e-13,29.87255072593689,6.071093,11.336966
48,50,30,2.730569219952429e-18,29.968937158584595,6.071718,11.337466
29,24,35,3.1706302206171097e-15,29.993505716323853,6.068209,11.334033
6,14,48,3.236454169222112e-09,29.9485867023468,6.068208,11.334004
49,44,18,4.5980675129926346e-11,29.997864961624146,5.709426,10.9874
49,14,47,3.236454169231569e-09,30.10988426208496,6.070512,11.336361
47,4,22,0.0033111064510579,30.278462648391724,6.061833,11.327885
50,21,22,3.747181733982856e-13,29.961989402770996,6.063287,11.329382
22,11,33,2.0863864311708025e-07,29.883346796035767,6.071907,11.337668
50,37,30,2.7317723135334414e-18,29.87505078315735,6.073493,11.339241
47,10,19,8.355256433957569e-07,29.65027141571045,5.914594,11.185533
9,16,46,2.0399246749164743e-10,29.936079740524292,6.073571,11.339313
17,45,16,7.404897649836849e-10,29.715900421142578,5.145357,10.442136
5,23,35,1.2364737832679187e-14,30.232218503952026,6.073311,11.339101
39,26,17,1.8390024074525563e-10,30.115926027297974,5.43728,10.724354
27,13,22,1.3255373368373598e-08,29.774788856506348,6.063675,11.329682
20,39,11,7.495123531643643e-07,29.52183198928833,3.649941,8.99644
25,16,20,2.142412267772349e-10,29.64835476875305,6.016183,11.283918
31,41,28,4.388700263663898e-17,30.077775955200195,6.073055,11.338872
35,21,12,1.86860426827528e-07,29.963253498077393,3.947755,9.284448
40,10,5,0.0030871301000003,29.573435306549072,2.058879,7.458414
41,27,16,7.372842847030474e-10,30.134562730789185,5.145337,10.442112
36,42,34,1.0723409329911242e-20,30.059441328048706,6.073416,11.339233
36,13,35,1.3264050694431152e-08,29.736127138137817,6.072919,11.338678
31,26,17,1.8390024074525563e-10,30.114477157592773,5.437161,10.724235
5,19,51,3.219549956627748e-12,30.27275514602661,6.0731,11.338902
52,36,25,2.8167305561026333e-15,29.93539786338806,6.071755,11.337528
32,24,35,3.1706302206171097e-15,30.113041877746582,6.072901,11.338725
4,20,32,7.975620317663971e-13,30.102489709854126,6.073722,11.339382
21,50,39,1.0693770166099689e-23,29.791542530059814,6.074253,11.340061
24,25,46,7.909243281610359e-16,30.224576950073242,6.07425,11.340007
20,14,14,1.1836337436275304e-08,30.116793870925903,4.548466,9.865156
8,49,15,2.957831323499228e-09,29.638077974319458,4.846316,10.152978
6,37,11,7.495123531643643e-07,29.23827075958252,3.651045,8.997544
33,50,23,4.475075138776909e-14,29.46402859687805,6.073768,11.339601
50,8,16,1.359991393360988e-05,29.82045078277588,5.145503,10.442309
40,40,8,4.8226162971892046e-05,29.855924606323242,2.774258,8.149998
46,49,10,3.016127331824935e-06,30.207460403442383,3.353655,8.710123
29,43,34,1.0709316602906152e-20,29.888922929763794,6.074384,11.3402
36,38,37,2.6026215062705757e-22,30.0129075050354,6.074221,11.340018
39,39,4,0.011484236733074,29.393705368041992,1.97319,7.375618
35,47,46,9.681757303874076e-28,30.227014541625977,6.07439,11.340173
35,45,50,7.301633297302582e-28,29.881657361984253,6.074785,11.340559
21,24,45,3.1706306711358736e-15,30.333420991897583,6.074768,11.340566
11,41,37,1.7564506546386517e-22,30.205798387527466,6.0741,11.339896
39,22,7,0.0001927338793342,29.944725513458252,2.501769,7.886647
49,46,47,3.8038929665075005e-28,30.029715538024902,6.074578,11.340355
42,12,49,5.21180608195728e-08,29.895006895065308,6.074436,11.340289
14,41,41,6.578666413512041e-25,30.061164379119873,6.074603,11.340414
27,33,29,1.1443083927843485e-17,29.4914493560791,6.075002,11.340805
11,5,37,0.0008512107474885,29.590383052825928,6.074984,11.340769
21,32,23,4.475075138776909e-14,29.3322651386261,6.074602,11.340434
50,10,7,0.0002156235954863,29.494628190994263,2.50281,7.887598
37,10,51,8.358811941778678e-07,29.417335271835327,6.075308,11.341137
45,44,22,1.8014885731785374e-13,29.275014638900757,6.065945,11.332059
51,12,45,5.211806081858827e-08,29.54082226753235,6.076179,11.341821
10,19,40,3.219549457593435e-12,29.43946385383606,6.075224,11.341014
13,23,24,2.4181778211194043e-14,29.20383048057556,6.07339,11.339277
10,33,16,7.404897649836849e-10,29.286824703216553,5.147326,10.444105
51,33,9,1.1998692677200518e-05,29.045120000839233,3.061392,8.427594
45,11,36,2.0863863852696818e-07,29.32603669166565,6.074949,11.340781
14,8,39,1.3596347313312584e-05,29.123026609420776,6.075071,11.340937
50,41,21,7.178289651477003e-13,29.57186722755432,6.065351,11.331564
52,49,25,2.8167305561026333e-15,29.478328227996826,6.074613,11.340386
30,36,30,2.7588292301403923e-18,29.424686670303345,6.07546,11.341207
29,10,50,8.358811941780167e-07,29.627275228500366,6.075033,11.340861
46,20,30,7.973533854168674e-13,29.568623304367065,6.075353,11.341138
21,14,41,3.2364541777978636e-09,29.942222356796265,6.07543,11.341124
37,28,8,4.8226162971892046e-05,29.42665719985962,2.775122,8.150862
46,4,4,0.011484236733074,28.615413427352905,1.975957,7.378329
47,36,41,1.8908772137280916e-22,29.220645427703857,6.076349,11.342171
19,17,7,0.0001930050559832,29.06816291809082,2.505493,7.890324
38,24,14,1.1836337436275304e-08,28.877295970916748,4.550574,9.867261
50,48,45,2.8139184040730755e-27,29.34318256378174,6.076001,11.341782
6,12,7,0.0001947869537117,28.865614652633667,2.505658,7.890464
46,50,51,7.847547478364533e-30,28.831725358963013,6.076102,11.341914
36,36,11,7.495123531643643e-07,29.12165641784668,3.65303,8.999529
