var_0,var_1,var_2,error,time,memory_mean,memory_peak
24,43,34,1.0709316602906152e-20,332.64146614074707,6.09558,7.340558
10,34,35,5.804123376042071e-21,333.0564601421356,6.088658,7.333644
43,31,43,1.912949119353054e-19,335.97886180877686,6.092119,7.337061
15,35,5,0.0030071220838267,336.20841813087463,2.069605,3.449249
19,42,43,8.757048747523141e-26,336.0288827419281,6.08976,7.334749
12,48,51,2.540581837259315e-29,337.52271461486816,6.096294,7.341264
9,43,39,1.1160615704712513e-23,337.6624913215637,6.083223,7.328182
28,25,9,1.1998692677200518e-05,337.54912304878235,3.070496,4.415911
4,52,13,4.7658098278548486e-08,338.0926833152771,4.266676,5.572526
6,29,13,4.7658098278548486e-08,338.94475197792053,4.258514,5.564364
21,46,35,2.69044780901484e-21,339.1325330734253,6.093583,7.338584
9,28,7,0.0001927338793342,342.5601227283478,2.51562,3.879879
49,12,7,0.0001947869537117,343.128093957901,2.518215,3.88247
19,8,41,1.3596347312003105e-05,343.90525817871094,6.086681,7.331541
35,43,37,1.672253386780906e-22,344.2441647052765,6.091073,7.336039
42,8,14,1.3660895331738265e-05,344.70922231674194,4.558781,5.854899
23,20,44,7.974918979901977e-13,345.0420808792114,6.083553,7.328496
49,29,14,1.1836337436275304e-08,344.9285433292389,4.556651,5.852503
46,25,51,7.909242635930901e-16,345.5476224422455,6.087313,7.332213
26,50,25,2.8167305561026333e-15,354.53779673576355,6.094129,7.339064
51,40,44,7.649107196368451e-25,383.9509425163269,6.071486,7.316423
14,9,9,1.1998692677200518e-05,390.07159399986267,3.075757,4.421172
33,7,14,5.427472552066779e-05,391.5451400279999,4.543327,5.839449
37,32,13,4.7658098278548486e-08,387.78974771499634,4.262524,5.568374
35,20,47,7.974918992075488e-13,387.43390440940857,6.089797,7.334729
9,12,13,1.0230603055915345e-07,383.6155297756195,4.263096,5.568995
16,36,40,1.9382062935533413e-22,392.50874876976013,6.089217,7.334193
17,20,14,1.2126852806137226e-08,393.5579743385315,4.563758,5.859623
28,5,9,0.0008941988827919,394.6248092651367,3.07709,4.422708
29,51,12,1.86860426827528e-07,390.0442361831665,3.964184,5.280045
35,20,33,7.974544256184573e-13,390.41542625427246,6.090327,7.335201
23,21,14,1.2048111762752862e-08,398.85885405540466,4.563787,5.859645
37,41,44,2.0375947973858669e-25,398.1565661430359,6.090069,7.335026
35,30,6,0.0007685882049677,390.9449100494385,2.269904,3.642736
31,15,40,8.171854120812251e-10,400.5713264942169,6.068358,7.313363
30,10,31,8.358812343267958e-07,396.2142970561981,6.08973,7.334713
4,43,31,6.822435938038918e-19,397.1444022655487,6.088569,7.33352
15,36,43,1.8691436639019089e-22,399.9623808860779,6.08985,7.334779
7,49,33,4.3634222788587956e-20,402.33127903938293,6.088415,7.333335
21,31,12,1.86860426827528e-07,396.5175230503082,3.943507,5.259368
52,42,8,4.8226162971892046e-05,353.52482557296753,2.780216,4.135235
51,46,36,6.7769742559495185e-22,355.3888804912567,6.083426,7.328439
25,45,18,4.5980675129926346e-11,349.6614022254944,5.721767,6.978903
17,20,18,5.604624602896846e-11,349.2154235839844,5.713672,6.970739
