var_0,var_1,var_2,error,time,memory_mean,memory_peak
4,45,8,4.8226162971892046e-05,33.750197410583496,2.789993,4.144801
10,35,21,7.178289651477003e-13,33.707860708236694,6.090511,7.335675
33,18,33,1.3095405424226484e-11,33.745895862579346,6.093585,7.338307
14,26,9,1.1998692677200518e-05,33.78741121292114,3.074017,4.419221
33,13,7,0.0001917845863152,34.33670616149902,2.527092,3.891149
4,45,27,1.7641212516002256e-16,34.420241832733154,6.093892,7.338638
14,6,18,0.0002154469284498,34.51699376106262,5.736804,6.993605
17,39,30,2.730569219952429e-18,34.54883885383606,6.087592,7.33229
26,24,15,2.957831323499228e-09,34.58691477775574,4.869393,6.155002
5,32,37,4.856063167230856e-20,34.59692025184631,6.099819,7.344618
20,8,17,1.3590883401347223e-05,34.730812311172485,5.45342,6.719458
39,11,35,2.0863863842762345e-07,34.73358750343323,6.088942,7.333669
5,42,17,1.8390024074525563e-10,34.738566398620605,5.450919,6.716947
24,42,44,6.062461940945078e-26,34.74075150489807,6.091564,7.336332
18,15,46,8.17185413525306e-10,35.3335394859314,6.091046,7.335711
18,38,40,1.6120737640510216e-23,35.43042874336243,6.09791,7.342639
40,21,51,1.9846780746739795e-13,35.45300245285034,6.094954,7.339704
39,11,49,2.086386386996677e-07,35.45700192451477,6.095718,7.340526
6,49,36,6.7769742559495185e-22,35.47199749946594,6.092,7.336802
32,51,24,1.1448067825875084e-14,35.48518705368042,6.094868,7.339686
15,6,45,0.0002154396594548,26.3786780834198,6.093799,7.338463
49,5,36,0.0008512107474805,26.45211625099182,6.092808,7.337594
8,15,16,1.5640484787781147e-09,26.1593918800354,5.164487,6.440271
51,50,41,6.593690389370546e-25,26.245439291000366,6.092638,7.337402
47,13,51,1.3264049969760722e-08,26.35228705406189,6.074126,7.318913
11,23,42,1.2365544766209863e-14,27.275192737579346,6.075225,7.320049
52,39,42,3.3889610832229076e-24,27.24025869369507,6.093049,7.337741
23,17,7,0.0001930050559832,26.97122883796692,2.520604,3.884661
36,48,17,1.8390024074525563e-10,26.944096565246582,5.457112,6.72314
25,43,15,2.957831323499228e-09,26.936416387557983,4.865175,6.150788
4,36,42,1.8819947044483025e-22,27.30869483947754,6.074823,7.319525
9,41,21,7.178289651477003e-13,27.140010595321655,6.082721,7.327885
16,37,7,0.0001927338793342,26.98762822151184,2.520628,3.884676
18,25,5,0.0030071220838267,27.229263067245483,2.058692,3.438125
21,23,43,1.2365549892322908e-14,26.37695574760437,6.072335,7.317087
19,30,51,7.645128837323794e-19,26.74404239654541,6.093231,7.338005
4,45,29,1.0950379672252509e-17,26.920647382736206,6.09289,7.337637
40,40,28,4.388700263663898e-17,27.097743272781372,6.092992,7.33776
22,20,20,2.9115209127346695e-12,26.98146414756775,6.034849,7.281477
49,33,33,4.3634222788587956e-20,27.029375076293945,6.093349,7.338058
5,26,14,1.1836337436275304e-08,30.334768056869507,4.5583,5.853939
35,13,46,1.3264049969600044e-08,29.474772453308105,6.078491,7.323148
20,44,33,4.3634222788587956e-20,34.29413414001465,6.087441,7.332153
47,41,35,2.6910938562293858e-21,35.12281823158264,6.0806,7.325391
19,5,4,0.0186003590436044,34.47390341758728,1.982749,3.366199
27,43,7,0.0001927338793342,33.68882966041565,2.514718,3.878769
22,51,12,1.86860426827528e-07,33.69718527793884,3.957038,5.272689
39,4,51,0.0033111023036567,34.39522433280945,6.087257,7.332013
12,13,8,4.89115395665232e-05,33.641329765319824,2.787424,4.142196
19,27,32,4.915243367558564e-17,33.20115303993225,6.083584,7.328296
36,39,43,3.1023469342029544e-24,34.39359140396118,6.078595,7.32331
7,35,39,8.021228634834361e-22,33.02680778503418,6.086964,7.33166
40,48,12,1.86860426827528e-07,33.55835437774658,3.961771,5.277422
39,32,30,3.3535681632508522e-18,34.675602436065674,6.085402,7.330084
47,15,44,8.171854131086586e-10,35.11816048622131,6.077256,7.32189
46,30,52,7.645128356947852e-19,34.283992528915405,6.087354,7.332103
52,41,40,3.965246917739698e-24,34.39721918106079,6.080316,7.325024
31,35,15,2.957831323499228e-09,34.5672447681427,4.859272,6.144885
42,40,28,4.388700263663898e-17,33.71839904785156,6.081878,7.326646
7,15,52,8.171854134258418e-10,34.382829666137695,6.085818,7.330614
8,23,22,2.694918064930608e-13,34.218270778656006,6.077493,7.322638
7,19,13,4.8505887401436176e-08,29.886298418045044,4.261094,5.566746
14,6,50,0.0002154396594549,34.1854681968689,6.087159,7.331953
11,11,24,2.086377499157921e-07,29.36804175376892,6.086391,7.331192
45,48,11,7.495123531643643e-07,30.606629848480225,3.663859,4.989324
44,19,32,3.2195420443794004e-12,30.687828302383423,6.087486,7.332124
10,29,39,3.0394713342390942e-18,30.681776762008667,6.089565,7.33425
45,25,13,4.7658098278548486e-08,30.683095693588257,4.262321,5.56796
10,17,14,1.3095985661516136e-08,30.7943217754364,4.561638,5.857299
36,40,45,7.397727107471488e-25,30.809332847595215,6.089556,7.334266
22,44,36,6.800994347591211e-22,30.093818426132202,6.087951,7.33275
6,34,51,2.9846466183297324e-21,30.904314517974854,6.087394,7.332166
22,31,32,3.8235427695666074e-19,30.809213876724243,6.08775,7.332486
24,18,22,1.3538420895271364e-11,30.131607055664062,6.078233,7.323134
48,42,22,1.8014885731785374e-13,30.94918918609619,6.080264,7.325329
38,39,6,0.0007685882049677,30.748440742492676,2.267494,3.640115
43,16,48,2.0399246749193302e-10,30.810439825057983,6.088564,7.333316
49,45,22,1.8014885731785374e-13,30.901880741119385,6.077865,7.32293
48,27,5,0.0030071220838267,30.12309169769287,2.072929,3.452362
50,47,36,6.7769742559495185e-22,31.018910884857178,6.086768,7.331571
45,4,38,0.0033111023036388,30.31199550628662,6.075508,7.320247
6,48,26,7.10438518507211e-16,29.60553789138794,6.079324,7.324111
10,49,22,1.8014885731785374e-13,29.740712642669678,6.065402,7.310467
15,50,14,1.1836337436275304e-08,29.735342741012573,4.563603,5.859244
26,41,51,1.8217585777676108e-25,29.607545137405396,6.072336,7.317123
35,21,8,4.8226162971892046e-05,29.790563821792603,2.78956,4.144368
33,24,25,6.116577639478282e-15,29.566688060760498,6.083566,7.328295
10,6,47,0.0002154396594549,30.341928958892822,6.090525,7.335333
27,42,20,2.9115209127346695e-12,30.22842526435852,6.030625,7.277253
14,34,41,2.9873232250275665e-21,30.428884744644165,6.083704,7.328432
29,6,39,0.0002154396594522,30.380730152130127,6.082922,7.327749
31,18,26,1.3100242429006838e-11,30.36922264099121,6.080804,7.32554
37,23,31,1.2387581497844122e-14,30.352566719055176,6.070484,7.315244
40,43,7,0.0001927338793342,30.382763147354126,2.506292,3.87034
29,4,35,0.0033111023039931,30.527427434921265,6.081817,7.326512
8,9,32,3.412344271067456e-06,29.728254795074463,6.072104,7.316816
13,42,38,4.289829337381863e-23,29.731554746627808,6.076977,7.321754
39,28,18,4.6043852629517246e-11,30.359633445739746,5.715565,6.972498
42,22,31,4.9479308646238766e-14,30.302874326705933,6.06978,7.314578
13,12,21,5.2116544203264465e-08,30.508999347686768,6.071069,7.316071
24,32,5,0.0030071220838267,29.57737684249878,2.072933,3.452366
22,16,38,2.0399246813510332e-10,30.0363028049469,6.086893,7.331638
50,9,25,3.412339333726546e-06,29.453375577926636,6.086315,7.331085
18,20,48,7.974918967884253e-13,28.86130142211914,6.08746,7.332135
15,38,10,3.016127331824935e-06,29.763055324554443,3.366569,4.702012
21,41,5,0.0030071220838267,29.116723775863647,2.072931,3.452364
7,45,25,2.8167305561026333e-15,30.903282642364502,6.086698,7.331423
27,33,52,1.212249307983402e-20,29.56430673599243,6.087335,7.33203
25,16,7,0.0001924186508252,29.430498123168945,2.514687,3.878748
17,45,44,1.5397885199213402e-26,31.064833402633667,6.087149,7.331903
7,28,20,2.9032516572137487e-12,29.636932611465454,6.026865,7.273492
42,35,14,1.1836337436275304e-08,29.749528408050537,4.561417,5.857058
21,47,45,3.037373975683035e-27,29.833961248397827,6.086975,7.331748
45,25,31,7.934108886218429e-16,30.164142847061157,6.087284,7.332001
51,9,42,3.412344354936221e-06,30.983243703842163,6.087368,7.332069
5,11,34,2.0863864366064067e-07,29.387593269348145,6.087387,7.33212
11,40,21,7.178289651477003e-13,30.56019163131714,6.077303,7.322467
30,37,20,2.9115209127346695e-12,29.83661460876465,6.028945,7.275573
33,15,17,1.1047008439411315e-09,30.19339156150818,5.451837,6.717813
11,19,35,3.2195602447188733e-12,30.93880820274353,6.087193,7.331911
51,40,25,2.8167305561026333e-15,30.046502113342285,6.086703,7.331427
17,9,18,3.414284469149865e-06,29.54909634590149,5.725051,6.981833
35,23,7,0.0001927338793342,29.627217769622803,2.514723,3.878771
6,14,48,3.236454169222112e-09,29.26929759979248,6.087579,7.332326
17,50,27,1.7641212516002256e-16,29.33027935028076,6.087194,7.33194
22,11,33,2.0863864311708025e-07,29.983415603637695,6.068886,7.313604
26,8,17,1.3590883401347223e-05,29.843040704727173,5.452269,6.718307
34,46,10,3.016127331824935e-06,29.376392364501953,3.348471,4.683914
47,4,22,0.0033111064510579,29.537657976150513,6.078055,7.323022
49,14,47,3.236454169231569e-09,30.21208882331848,6.087634,7.332434
29,24,35,3.1706302206171097e-15,29.310098886489868,6.086942,7.331718
50,21,22,3.747181733982856e-13,30.11090636253357,6.077654,7.322756
48,50,30,2.730569219952429e-18,30.25495219230652,6.087946,7.332645
21,9,34,3.4123443416337366e-06,30.691734075546265,6.088374,7.333095
29,14,5,0.0030197903150504,29.77990221977234,2.072921,3.452355
26,31,42,1.9134869865944172e-19,30.167073726654053,6.087011,7.331737
8,21,23,2.748597990368739e-13,30.136579275131226,6.069479,7.314303
48,43,36,6.800994347591211e-22,34.027989864349365,6.086776,7.331576
10,5,29,0.0008512107395502,34.09723377227783,6.087792,7.332538
49,44,18,4.5980675129926346e-11,34.594064712524414,5.725105,6.982031
27,13,22,1.3255373368373598e-08,29.54348134994507,6.063287,7.308246
47,10,19,8.355256433957569e-07,29.840107440948486,5.9219,7.171802
4,20,32,7.975620317663971e-13,29.614892959594727,6.087644,7.332255
9,16,46,2.0399246749164743e-10,29.694617748260498,6.087494,7.332187
39,26,17,1.8390024074525563e-10,30.22062587738037,5.449736,6.715762
40,10,5,0.0030871301000003,29.573920488357544,2.061038,3.440501
41,27,16,7.372842847030474e-10,30.35775375366211,5.157212,6.432938
31,26,17,1.8390024074525563e-10,34.31685757637024,5.438121,6.704147
31,41,28,4.388700263663898e-17,34.35404348373413,6.073197,7.317965
32,24,35,3.1706302206171097e-15,34.33836126327515,6.081443,7.32622
25,16,20,2.142412267772349e-10,33.48202610015869,6.019048,7.265734
36,13,35,1.3264050694431152e-08,35.03753304481506,6.077896,7.322606
50,37,30,2.7317723135334414e-18,33.7755663394928,6.087413,7.332112
36,42,34,1.0723409329911242e-20,33.854071378707886,6.08743,7.332198
35,21,12,1.86860426827528e-07,33.601417541503906,3.952023,5.267673
52,36,25,2.8167305561026333e-15,34.37439799308777,6.069822,7.314546
20,39,11,7.495123531643643e-07,34.298492431640625,3.663862,4.989327
17,45,16,7.404897649836849e-10,30.200424432754517,5.158884,6.434616
5,19,51,3.219549956627748e-12,30.28322434425354,6.083637,7.32839
5,23,35,1.2364737832679187e-14,30.452906847000122,6.082976,7.327717
46,49,10,3.016127331824935e-06,33.51519823074341,3.366468,4.701912
21,50,39,1.0693770166099689e-23,33.89461946487427,6.08707,7.331829
20,14,14,1.1836337436275304e-08,33.34360146522522,4.56141,5.857051
29,43,34,1.0709316602906152e-20,32.78206753730774,6.087333,7.3321
14,41,41,6.578666413512041e-25,34.13331389427185,6.08755,7.332312
21,24,45,3.170630671135874e-15,33.51101803779602,6.087585,7.332334
36,38,37,2.6026215062705757e-22,29.438733339309692,6.087032,7.331781
40,40,8,4.8226162971892046e-05,33.59363865852356,2.787213,4.142022
42,12,49,5.21180608195728e-08,29.459513187408447,6.087253,7.332057
39,39,4,0.011484236733074,30.051520347595215,1.986005,3.369172
35,47,46,9.681757303874076e-28,29.396920680999756,6.087201,7.331938
6,37,11,7.495123531643643e-07,29.652629852294922,3.663861,4.989326
