var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
26,5,49,25,19,32,35,1.5125179461679174e-11,92.56036258,49.221689,61.736831
40,26,3,13,34,8,32,0.9999499203806093,67.84457517,12.001843,19.890107
26,40,51,28,52,8,12,1487581305.093889,81.24712896,49.221665,61.736807
51,47,3,20,39,47,12,0.9999499302884255,66.2644608,12.013362,19.901459
37,12,19,8,47,19,26,3.8074987784078486e-07,82.24566555,47.26234,59.842762
27,29,42,39,18,25,27,2.0472178315766717e-11,81.83400559,47.983608,60.53658
8,52,26,36,8,25,33,12033.027320941714,81.81413245,47.248443,59.828866
10,7,4,22,29,20,4,0.999958252524743,66.50252199,12.011345,19.899609
48,11,43,9,39,11,42,53292116.552489154,66.88624978,12.011481,19.899745
24,17,44,19,23,19,44,9.251905210270476e-12,80.91944504,49.213742,61.728884
43,9,43,6,36,4,21,0.9999499363232432,66.4116981,12.011346,19.89961
18,3,43,43,44,28,24,0.03300084172137319,66.64482999,12.011343,19.899607
30,30,42,26,12,14,13,5280.492635075247,81.49756575,49.220426,61.735569
32,22,45,46,46,49,13,1.8775729191351508e-07,81.67172146,49.216917,61.732059
40,52,18,7,42,48,30,1.4343885341711448e-06,82.50198126,49.204933,61.720075
39,47,26,37,23,29,27,2.3627178540685876e-14,83.36884785,48.508528,61.04735
16,45,35,24,14,32,39,0.06600166695680967,82.28352523,49.221849,61.736992
51,3,42,25,33,19,33,0.03300084217398228,66.56482244,12.001654,19.889917
23,30,42,17,25,33,42,1.5525759010191872e-12,82.11562467,49.221668,61.73681
31,40,28,21,6,24,6,944738176.3328681,81.72456479,49.221661,61.736803
34,7,37,39,13,37,37,2639.9648535247265,82.19710922,49.219019,61.734161
42,48,32,38,23,20,25,2.343416284658252e-12,84.81477737,48.936243,61.462875
47,48,12,31,6,25,43,958043005.183416,82.38261366,49.203531,61.718673
22,40,12,33,24,13,18,3959.143680377277,81.41373992,49.221668,61.73681
38,46,7,18,33,15,31,1593686360.4271495,83.03610229,49.221667,61.73681
7,14,4,23,24,18,14,0.9999498840071935,81.68243384,47.252171,59.636753
32,16,17,46,27,8,14,1487581303.789506,81.81494975,49.221668,61.73681
11,34,18,47,31,50,22,1322.1683625859819,67.25432539,12.011345,19.899608
34,9,47,13,52,48,13,1.8879595339230636e-07,68.21197557,12.007332,19.895596
6,20,48,18,29,36,43,105039602.63993129,81.14640045,49.221669,61.736811
6,43,26,12,41,44,15,105039599.5354937,81.94499159,49.202353,61.717496
21,9,6,50,14,44,43,1593689294.4481168,66.66503429,12.011343,19.899606
35,14,25,17,23,21,47,2.5144719036750897e-12,81.81327581,49.221777,61.736919
4,33,17,30,25,36,28,1006146810.7661889,80.83114696,49.21674,61.731882
13,38,41,20,40,35,19,5.0513084056522195e-08,81.88923097,47.26327,59.843693
46,10,26,13,49,21,31,3.4579142007759473e-10,66.1604526,12.011346,19.899609
6,9,20,42,52,17,26,105039602.63993129,66.53105235,12.005016,19.893279
11,46,43,7,43,24,10,1329.2705077104279,67.37130332,12.011345,19.899608
7,45,36,18,48,36,44,5316.361963316059,81.27449608,49.221666,61.736809
28,49,15,21,8,38,40,11881.205147964258,82.49768424,47.263269,59.843692
47,21,33,41,27,48,15,9.879088075458197e-09,83.74995732,48.613203,61.149071
41,50,47,41,41,21,16,2.928036440209269e-09,79.90730071,48.624405,61.159462
13,4,28,45,39,26,41,4.966169829028046e-08,82.04515052,49.221668,61.73681
8,31,39,46,19,40,43,2675.647932117556,81.62631679,47.254817,59.835241
44,47,11,42,23,8,4,1469584925.676477,66.79209733,12.011352,19.899615
31,8,24,48,37,32,50,2.3906127396894145e-13,81.94504023,49.22026,61.735402
17,41,12,46,36,51,31,0.0660019233608575,81.50732255,47.26327,59.843692
40,45,32,34,37,35,6,0.0020418938663405396,83.45814753,49.20477,61.719912
14,47,44,17,33,21,15,0.03300090478588872,81.81394839,49.221665,61.736807
39,35,39,13,48,4,40,0.9999499203806093,82.63959098,49.221666,61.736808
33,37,15,44,40,20,7,0.0005566285901627317,81.03722787,49.140342,61.657702
51,40,52,6,18,17,37,0.03300703705436437,83.45624542,47.263271,59.647853
9,11,28,27,20,3,5,0.9999708630196774,68.15396166,12.008529,19.896792
35,5,9,15,51,11,22,956224544.792761,66.61381745,12.011348,19.899611
14,25,32,37,24,47,48,0.033000872731775856,80.91291332,49.221662,61.736806
6,7,8,35,6,50,7,1580166398.6766868,81.0907197,47.263266,59.843689
10,14,11,27,33,5,27,0.8361136888960096,66.91421199,12.000082,19.888346
41,18,35,6,37,49,5,0.008571985174863817,83.24426389,47.263262,59.647844
9,51,28,5,3,9,23,1602745881.54377,68.05978394,12.011343,19.899606
3,50,3,23,15,18,48,1000.0,66.65352416,12.011347,19.89961
35,10,49,35,48,43,25,6.953947539677054e-14,64.57994556,11.99163,19.879894
13,16,32,26,41,25,42,4.9744875829047364e-08,81.02464938,47.263271,59.843694
49,18,13,33,27,24,41,3960.667146293648,82.57457495,49.221667,61.736809
21,47,52,46,35,6,42,1593688140.8134117,82.65737844,49.208996,61.724138
13,29,23,14,8,17,47,53324503.196734264,82.81569004,49.221658,61.736803
34,18,34,31,49,28,52,3.220440232486349e-17,82.51494527,48.67308,61.209028
16,48,24,18,7,31,15,319683981.7477433,81.83765054,49.216038,61.731181
30,24,37,35,14,52,32,0.06600166619339239,81.12394142,49.200542,61.715684
10,39,21,44,17,27,3,0.2512922058387032,66.32550716,12.011349,19.899613
50,49,9,41,51,14,23,424998574.5667413,66.61411524,12.011342,19.899605
19,18,9,26,27,48,18,318758042.7594749,66.76546383,11.997264,19.885528
9,41,13,35,8,52,11,1224261952.681591,66.9990747,12.011339,19.899603
9,52,22,30,42,51,21,5294.288207984334,67.38755846,12.011344,19.899608
10,44,17,39,35,24,25,0.1003624168444202,67.65904856,12.011353,19.899616
13,8,34,8,20,35,52,5.624698555326013e-07,81.976969,47.263266,59.843688
40,49,18,45,49,14,26,1320.0982108341539,83.10599995,48.63835,61.173161
39,21,22,51,35,22,25,1.7431674355996638e-13,83.02060914,48.642509,61.176962
29,8,25,19,45,7,18,1593705272.698715,82.04963541,49.205464,61.720606
13,31,24,41,34,33,12,8.079912139005307e-07,82.1751523,47.263268,59.84369
26,51,6,33,7,35,13,1593834277.015015,82.14092851,47.263268,59.64785
8,31,19,14,45,38,20,2675.647932117556,82.27624679,49.221664,61.736807
6,12,25,18,46,19,14,105039599.53549138,81.49502301,49.221667,61.73681
51,16,45,50,34,44,32,4.4033385910532246e-18,85.92082977,48.631363,61.166201
36,14,49,47,30,4,30,0.9999499203657629,80.9418757,49.221667,61.73681
49,52,43,8,28,37,47,3.808650057159257e-07,82.07987523,47.245663,59.826085
5,7,4,4,52,20,15,0.9999490171801042,82.24069333,47.263269,59.452011
27,41,45,24,16,35,31,3.198438120824132e-10,81.8898201,49.221664,61.736807
14,40,8,19,35,35,25,1487591973.1383028,82.24793863,49.211105,61.726248
21,39,13,30,35,12,15,0.06600195229157789,81.34948874,49.221665,61.736808
25,18,10,35,7,21,48,159377789.39253357,66.7955308,12.007831,19.896094
43,34,38,43,37,19,24,8.504956753479894e-12,79.91641021,48.638447,61.172768
3,28,25,40,36,7,17,1000.0,66.50115681,11.992336,19.8806
4,33,47,38,45,30,16,1006148287.1114212,80.94504261,49.22166,61.736802
21,20,34,25,25,45,45,7.810455252173681e-13,81.86381698,48.977413,61.502203
25,8,27,6,6,46,4,945171984.4795886,82.56931782,47.263268,59.647851
23,42,34,20,8,32,29,11881.315692946437,81.70939422,49.221669,61.736811
42,34,37,19,22,50,19,5.898927675777887e-11,82.31203675,49.216738,61.731881
39,40,28,50,31,43,39,3.786956607273413e-17,81.594486,48.619125,61.153786
46,40,20,50,26,22,19,8.964099073952761e-11,82.89279914,48.637672,61.172124
15,43,30,27,46,23,18,3.762161169728557e-09,80.78782749,49.221661,61.736803
9,23,50,12,30,44,31,5294.288207984334,68.97293162,11.99797,19.886234
20,36,29,51,27,46,18,1.773931781340567e-10,81.55611658,48.062399,60.611951
40,22,18,31,15,24,41,1.0788001576329066e-09,82.68767691,47.263265,59.843687
35,46,35,28,12,25,31,3959.8745799619187,81.64715552,47.257395,59.837811
23,34,34,43,23,7,5,1574552416.3475904,81.62217045,49.221671,61.736813
3,42,38,41,20,10,25,1000.0,68.8473208,12.01135,19.899613
52,31,24,45,24,24,49,2.064771326868363e-14,85.28706741,48.637077,61.171664
13,23,51,43,36,6,19,1593896871.4306073,83.29707479,49.221668,61.73681
48,42,32,37,18,13,28,3960.6391808118483,84.21829796,48.579528,61.117162
17,37,15,41,6,13,36,1011617344.4511143,81.63791966,47.263266,59.843688
17,19,40,34,12,19,48,3959.8287732018453,82.63649869,47.254812,59.835236
37,35,4,41,30,37,30,0.999949920365759,82.16944408,48.508617,60.851714
23,3,5,3,6,11,47,1000.0,66.87719393,12.011345,19.899608
36,22,17,23,31,41,45,0.033000834566856256,83.15789151,49.163704,61.678846
51,7,27,37,36,20,49,2.568229015486486e-12,85.34476924,49.221661,61.736804
15,42,34,38,24,52,21,3.1354645917127087e-09,82.98143864,49.204775,61.719917
29,38,45,49,7,5,40,0.695454406667362,81.61386156,49.221669,61.736812
34,31,46,15,28,12,48,0.0660019133195776,81.90037417,47.263268,59.84369
5,52,40,34,51,45,46,263043055.07512733,83.22161555,47.253404,59.833827
8,34,24,45,49,50,14,2675.1436048313667,81.20147634,47.263265,59.843687
25,29,41,8,49,44,35,3.808650057159257e-07,81.42584682,47.263262,59.843686
31,23,15,37,17,47,33,3.1124794606108523e-09,81.38828897,49.218849,61.733991
32,33,36,48,7,12,27,319683285.9918327,82.69364977,49.196858,61.712
43,20,31,24,15,50,35,9.306095186515558e-10,82.09950542,49.203365,61.718507
48,5,25,24,43,5,18,0.8301096096107773,82.45136595,49.221664,61.736807
8,32,43,23,42,6,42,1576672362.972083,81.40945387,47.26326,59.843683
48,30,25,7,45,26,25,1.438308914820252e-06,82.59889317,49.210402,61.725545
37,20,13,30,6,26,44,1011674626.919805,83.46945071,49.221666,61.736808
30,14,28,22,50,27,5,0.00849762977663343,81.69657755,49.217436,61.732587
6,44,19,34,4,40,38,1582903821.3516753,81.54356265,47.263268,59.843691
24,6,37,6,15,22,30,5.885210653573826e-06,82.86804891,47.263266,59.647848
40,19,42,22,13,47,22,2639.963429887463,82.21557117,49.221607,61.736749
13,13,39,36,8,45,50,53324503.196734264,81.82934284,49.221663,61.736806
9,39,9,29,46,50,38,319384656.7949113,67.03725767,12.011347,19.899611
39,21,46,30,39,25,16,2.9831198473935194e-09,83.03911996,49.216033,61.731175
29,23,46,12,26,29,51,1.3870110054144317e-09,82.59770036,49.221666,61.736808
17,46,31,37,6,25,27,958297221.6860503,81.87096739,49.200549,61.715692
46,40,18,4,21,39,22,9.886643403722215e-05,83.52492809,49.221665,61.540967
3,26,25,22,3,50,11,1000.0,67.22453642,12.011351,19.899614
24,21,49,14,16,27,18,9.684658483079973e-10,82.03521633,47.249188,59.829611
43,33,30,26,48,18,24,3.380699567542697e-11,83.14789391,49.103987,61.6241
13,44,7,42,16,17,14,1593880863.977248,81.45837784,49.221669,61.736811
50,30,19,34,33,32,39,8.388466768908003e-12,83.0527854,47.69684,60.259068
44,30,5,36,49,52,25,1317.3398428888916,84.29651833,47.279717,59.663842
33,19,3,6,19,26,39,0.9999499363232432,67.25335956,11.995153,19.883416
30,31,21,13,45,46,36,3.4653037005667597e-10,82.84534574,49.221665,61.736808
21,43,14,50,34,48,30,1320.0986168056008,82.06655121,49.212521,61.727663
49,43,10,4,10,50,9,0.26481080581908933,67.10659194,12.011347,19.89961
43,17,19,47,23,5,20,0.8301096072400903,82.61280727,48.646123,61.180612
18,34,24,21,14,47,8,0.06613011620903174,83.10999346,49.204065,61.719207
3,22,11,40,13,4,12,1000.0,66.21455336,12.01135,19.899614
37,11,46,34,4,32,3,2522155355.2407117,66.37891555,12.011348,19.899612
24,3,3,41,46,33,29,0.9999499212566324,68.50216842,12.000787,19.889051
12,22,12,7,6,42,19,1011550037.0764778,81.6510973,49.221664,61.736807
28,22,27,31,49,12,37,0.06600191341819181,82.39354801,47.870958,60.436951
11,33,13,22,32,20,37,5289.166222011636,66.60654902,12.007831,19.896095
43,6,20,30,39,49,24,4.002351543465228e-12,82.26320744,49.221662,61.736805
26,6,11,35,9,3,28,0.9999499203577424,68.38181376,11.992329,19.880593
6,7,17,24,25,47,27,105039602.63993129,82.37227964,49.221667,61.73681
5,21,32,20,23,8,29,1532083940.6568758,82.17440605,47.2513,59.831722
4,47,51,32,41,18,13,1006148287.1114212,81.8316021,49.221669,61.736812
24,31,20,32,50,7,20,1593682512.7744322,82.69406986,49.221665,61.736807
36,8,25,46,5,33,33,1542508578.2065032,82.67903709,49.216738,61.731881
34,3,8,16,10,3,3,0.9999498752830652,68.01446319,12.011338,19.899601
11,11,36,33,52,35,41,1322.1683625859819,66.70447636,11.990924,19.879188
28,18,4,15,4,20,24,0.9999499203769494,81.80972433,49.22167,61.540972
14,26,52,41,33,37,18,0.033000875053342614,82.12725043,49.221669,61.736811
15,32,4,4,31,20,40,0.9999500950800316,82.54779029,47.24989,59.438633
48,13,46,5,30,13,51,3986.8465847092725,84.10722899,47.263269,59.647851
6,52,9,14,31,38,17,473046496.9757691,68.00405669,12.011345,19.899608
29,18,40,14,30,30,28,8.651404650481115e-11,82.67904377,47.263269,59.843691
34,23,5,43,47,4,25,0.9999499203641606,81.68012118,47.874541,60.238684
31,38,26,37,15,32,46,9.306478122642504e-10,81.31539774,49.221669,61.736811
38,11,39,25,46,3,29,0.9999499203661522,68.17508531,12.011341,19.899604
25,21,25,16,23,5,39,0.8301095865266023,81.68536448,49.206175,61.721318
42,4,16,30,24,18,49,0.06600167373622587,83.63675189,49.221661,61.736804
12,8,24,17,22,4,29,0.9999499303753115,82.19655204,49.221664,61.736808
23,27,33,41,48,52,37,4.787167662231007e-14,82.3940444,48.519048,61.057828
49,43,40,17,15,17,38,1.3633999384254276e-09,82.45563245,49.221667,61.73681
8,34,5,52,5,15,46,1451077142.5463521,81.1825428,45.30487,57.754733
39,41,39,18,34,38,41,3.3865203878927755e-13,82.35893536,49.220263,61.735405
28,37,3,52,22,30,43,0.9999499203658662,66.77320981,11.99445,19.882713
9,21,36,3,38,4,19,1000.0,67.96085334,12.011341,19.899605
25,13,3,43,44,35,33,0.9999499203641113,66.98248672,12.001486,19.889749
41,27,13,26,43,36,49,3960.6671414803777,84.05938148,49.221664,61.736806
15,18,28,44,7,38,16,319660157.57901967,81.31676817,49.218847,61.73399
20,44,47,36,25,36,16,2.9907472320095713e-09,81.1377387,49.221671,61.736813
20,14,35,34,18,8,13,1487581456.0883107,81.71485758,49.203356,61.718499
22,43,27,48,14,15,16,0.06600167783853061,82.02530718,49.221665,61.736807
14,15,38,22,39,22,29,0.033000872779685726,82.35474277,49.210401,61.725543
44,12,41,52,51,44,20,8.336827691336921e-12,82.64096069,48.638018,61.172366
20,32,7,37,48,49,32,1593682826.0228415,82.99091935,49.221669,61.736811
9,28,28,22,18,39,39,5294.288207984334,69.59657288,11.991635,19.879898
23,25,31,36,36,36,7,0.0005539076824780572,82.22506166,49.221663,61.736805
19,38,36,21,43,4,48,0.9999499204710194,81.68149948,47.263264,59.843686
25,51,39,35,17,38,41,8.103180378372582e-11,81.42250443,47.271427,59.851849
17,21,40,49,44,41,18,4.752530413367897e-10,82.29553437,48.460296,61.003207
52,17,20,51,45,30,5,0.008497629484516626,84.35412431,48.634257,61.168686
37,10,28,30,23,13,27,3960.646049433919,66.42890143,12.011341,19.899605
3,4,25,37,37,49,44,1000.0,67.33621359,12.011346,19.899609
7,14,48,45,43,4,7,0.9999498840071935,82.25532818,47.249187,59.829609
35,31,13,32,52,4,46,0.9999499203657944,82.28524232,47.263259,59.843682
41,40,27,12,50,29,19,1.4849302817911099e-09,82.86011124,49.22167,61.736812
46,16,7,23,18,17,51,1593685418.1467035,84.39043927,47.256227,59.836649
44,36,38,5,28,19,31,2.377819217241369e-05,82.89209366,47.263265,59.647847
27,50,24,34,43,18,12,8.115015648460888e-07,82.01724148,47.263272,59.843695
7,27,18,7,40,35,38,5316.361963316059,80.36109447,49.221656,61.736799
20,36,46,15,29,27,18,2.391960195000898e-10,82.5767653,47.247074,59.827496
45,7,33,32,17,52,41,8.808790437215427e-11,83.13950086,49.221668,61.73681
45,22,18,34,19,28,47,7.088853026322639e-11,82.98411798,48.558412,61.100702
52,37,31,26,27,17,45,0.033000834592879176,85.12086272,49.194875,61.710019
32,16,13,16,43,5,49,0.8301095867493695,82.50821447,49.221664,61.736806
45,31,20,34,7,43,17,319675048.559136,83.63718915,47.270588,59.850833
22,26,30,49,19,5,28,0.8301095949996781,82.17288351,49.221662,61.736805
20,4,40,41,23,42,42,5.2610692413613375e-11,82.80264735,49.204063,61.719206
47,24,40,22,12,41,45,3959.874761033658,83.20515418,49.221669,61.736811
22,11,50,7,26,32,8,0.00013711702499001401,67.22815824,12.011347,19.89961
51,29,11,20,39,11,24,53293027.67547258,67.17230368,12.000789,19.889053
34,13,37,18,43,18,38,3.543676111051796e-11,81.87726593,49.221662,61.736804
21,49,27,36,50,25,41,7.91155597171336e-13,81.92088294,48.801501,61.331003
20,21,22,42,33,49,26,3.804732292008962e-12,81.56694984,48.905935,61.428387
11,7,34,18,20,30,22,1322.1683625859819,66.75683475,11.99234,19.880603
27,7,51,19,41,44,13,1.8763244733572397e-07,81.77276516,49.221666,61.736808
36,21,37,32,44,24,32,8.110900755803025e-15,82.49591422,48.596624,61.12922
46,23,36,8,38,21,31,3.8140578504489135e-07,82.96301627,47.263267,59.843689
49,9,5,5,50,28,26,1315.142435463664,67.00275326,11.990932,19.879195
47,12,16,40,26,42,44,0.0660016716269317,84.30648351,48.691525,61.226858
51,40,18,25,29,26,47,3.415976910582913e-11,82.65977836,47.263271,59.843693
37,20,15,19,29,45,14,8.115917252994862e-08,81.6946466,49.215331,61.730473
45,46,43,32,12,46,45,3959.874613773621,82.84150124,49.221667,61.736809
8,19,12,32,38,17,5,2861.639466743051,80.9339807,49.221667,61.736809
32,38,23,30,52,40,6,0.002041893852505638,81.36343694,47.263263,59.843686
4,23,3,22,13,45,15,0.9999502239756993,66.92859006,12.002894,19.891157
36,27,23,4,20,52,52,9.925472306377815e-05,82.63539386,49.221666,61.540968
11,11,18,46,11,32,34,3963.9883653608517,66.46355748,12.011341,19.899605
49,38,49,12,45,50,37,1.3870110054144317e-09,82.05800319,49.220259,61.735402
43,41,52,13,12,52,7,4014.078769849041,82.00452113,49.221668,61.73681
13,7,3,44,40,40,49,0.9999499164380731,66.15249372,11.994448,19.882712
16,34,4,5,19,28,51,0.9999499669504996,83.13259077,47.263269,59.452011
23,43,44,13,38,29,44,3.444711040500925e-10,82.03991556,49.221661,61.736803
11,39,9,34,52,44,30,265193949.77970016,67.17559886,12.001489,19.889753
14,16,42,17,27,37,51,0.0330008727577573,81.61780143,49.221668,61.73681
45,51,21,5,27,31,48,2.377819217241369e-05,84.27147055,47.26045,59.645032
28,5,16,43,14,35,4,0.12061996363345227,81.9201479,49.221671,61.736813
22,35,25,33,42,50,29,2.0761942717012283e-13,81.9755199,48.698227,61.229319
20,15,41,46,17,45,19,2.3143078474502137e-10,82.52688289,49.221667,61.73681
25,45,51,5,18,23,45,2.3891884336435195e-05,82.73362184,47.263268,59.64785
12,47,41,18,47,30,28,2.0283233698443718e-07,81.84066176,47.263265,59.843687
49,29,6,14,36,16,35,1593705003.1029978,82.21687961,47.263265,59.647848
14,45,45,19,34,24,35,0.0330008727577573,81.7543633,49.221667,61.73681
52,25,46,43,12,34,6,4037.9112212177615,84.6850884,48.625778,61.160641
7,52,49,17,6,41,39,1578338332.02657,82.34783149,49.221667,61.736809
43,52,50,41,13,41,44,2639.9626660430067,83.88262582,48.629858,61.164963
16,50,37,36,13,25,45,3959.9408903850467,81.69749522,48.580152,61.111862
22,16,52,35,38,41,26,2.1117841466974448e-13,81.93401384,49.221667,61.736809
34,32,49,18,25,29,30,3.4276849136816463e-13,82.54036617,49.221671,61.736813
24,32,34,22,35,48,16,2.987829549950675e-09,81.853441,49.207581,61.722724
12,51,50,50,52,21,45,2.0246170313270427e-07,81.7527144,49.221665,61.736807
34,36,44,21,20,6,47,1593685537.4683585,95.23058605194092,49.221675,61.736818
40,18,50,39,49,45,6,0.002041893862054565,83.26440763473511,49.225693,61.740851
10,48,32,28,38,37,19,0.1003624168444202,66.78956532478333,12.013296,19.901391
11,45,8,24,28,20,37,1485066615.6053326,65.87905406951904,11.995765,19.884029
11,52,32,31,18,15,15,1322.135584848366,66.57173252105713,12.011275,19.899539
42,13,15,33,46,31,34,2.152197019701204e-09,82.08678007125854,47.263339,59.843761
9,29,39,20,14,20,8,5301.141966501876,67.33399629592896,12.011273,19.899537
51,31,46,15,38,23,7,0.000553922848323995,84.18729782104492,49.221599,61.736741
36,31,38,4,25,40,49,9.925472306377815e-05,82.8464949131012,49.219648,61.538952
37,21,9,48,10,39,13,903185957.8118596,66.61770033836365,12.011277,19.89954
9,40,37,45,31,39,50,5294.288207984334,66.63844704627991,11.993846,19.882109
