var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
26,5,49,25,19,32,35,24.91466024684705,96.93366956710815,49.217314,61.732565
40,26,3,13,34,8,32,5.008087341685936e-05,74.24788641929626,12.000755,24.079991
26,40,51,28,52,8,12,-21.120417352776965,96.4569492340088,49.205269,61.72052
51,47,3,20,39,47,12,5.0070965104247767e-05,74.51901412010193,11.9987,24.077936
37,12,19,8,47,19,26,14.781123166009577,96.2295491695404,47.253328,59.833859
27,29,42,39,18,25,27,24.611954306882016,94.9613754749298,47.974761,60.527842
8,52,26,36,8,25,33,-9.39541042493685,94.62588119506836,47.249128,59.829659
10,7,4,22,29,20,4,4.1748346707080445e-05,74.60876035690308,11.997586,24.076878
48,11,43,9,39,11,42,-17.791298971113985,73.77163028717041,11.998556,24.077848
24,17,44,19,23,19,44,25.40619161693496,95.31438612937929,49.211994,61.727245
43,9,43,6,36,4,21,5.006492998444366e-05,73.54819822311401,11.996598,24.07589
18,3,43,43,44,28,24,3.4112222111326713,73.85560464859009,11.997877,24.077169
30,30,42,26,12,14,13,-8.571774674445521,94.67586755752563,49.211306,61.726557
32,22,45,46,46,49,13,15.488115708635506,95.15489339828493,49.200753,61.715932
40,52,18,7,42,48,30,13.45477190815429,95.56348609924316,49.210731,61.725983
39,47,26,37,23,29,27,31.376378712419903,95.9663667678833,48.494734,61.033665
16,45,35,24,14,32,39,2.7180752803533044,94.7665708065033,49.205453,61.720704
51,3,42,25,33,19,33,3.4112221974175942,73.71841406822205,11.997333,24.076401
23,30,42,17,25,33,42,27.191105692752735,96.0507550239563,49.210258,61.725509
31,40,28,21,6,24,6,-20.666418384987605,95.25235891342165,49.203823,61.719074
34,7,37,39,13,37,37,-7.878520882992927,95.239408493042,49.208969,61.72422
42,48,32,38,23,20,25,26.77941130054218,96.89308071136476,48.924518,61.451257
47,48,12,31,6,25,43,-20.6804032255157,95.59696745872498,49.205617,61.720868
22,40,12,33,24,13,18,-8.283783038535812,94.26923775672913,49.209394,61.724645
38,46,7,18,33,15,31,-21.189315635361382,95.26475238800047,49.210257,61.725508
7,14,4,23,24,18,14,5.011724865468075e-05,94.3835587501526,47.245556,59.630249
32,16,17,46,27,8,14,-21.120417351900116,94.47946000099182,49.209649,61.7249
11,34,18,47,31,50,22,-7.187028366755073,74.32688546180725,11.998558,24.07785
34,9,47,13,52,48,13,15.48259901676817,73.90257430076599,11.999421,24.078713
6,20,48,18,29,36,43,-18.469848005011173,95.35760474205016,49.208286,61.723537
6,43,26,12,41,44,15,-18.469847975456247,95.56423091888428,49.209649,61.7249
21,9,6,50,14,44,43,-21.189317476387533,74.05096793174744,11.998556,24.077848
35,14,25,17,23,21,47,26.708958313083468,96.46059679985046,49.206623,61.721874
4,33,17,30,25,36,28,-20.729393833131716,94.4410319328308,49.209393,61.724644
13,38,41,20,40,35,19,16.80103344399501,95.10092854499815,47.252218,59.832749
46,10,26,13,49,21,31,21.78518535479286,73.89772272109985,11.996082,24.075374
6,9,20,42,52,17,26,-18.469848005011173,74.09502506256104,11.995204,24.074496
11,46,43,7,43,24,10,-7.1923855802966035,74.0211489200592,11.998557,24.077849
7,45,36,18,48,36,44,-8.578544506927509,95.42619466781616,49.211993,61.727244
28,49,15,21,8,38,40,-9.382713031202934,96.120534658432,47.249673,59.830204
47,21,33,41,27,48,15,18.432845629501386,96.4177267551422,48.616674,61.152651
41,50,47,41,41,21,16,19.648933795498127,91.51539611816406,48.606621,61.141786
13,4,28,45,39,26,41,16.81803185909672,94.10443949699402,49.208969,61.72422
8,31,39,46,19,40,43,-7.8919468476141965,94.6977698802948,47.251537,59.832068
44,47,11,42,23,8,4,-21.10824583437959,74.35152387619019,11.995255,24.074547
31,8,24,48,37,32,50,29.062056499398913,94.6215136051178,49.208329,61.72358
17,41,12,46,36,51,31,2.7180713955491522,94.64394330978394,47.252218,59.832749
40,45,32,34,37,35,6,6.193877535937882,96.40185260772704,49.206221,61.721472
14,47,44,17,33,21,15,3.4112203001373134,94.92838835716248,49.209394,61.724645
39,35,39,13,48,4,40,5.008087341685936e-05,96.4799919128418,49.210617,61.725868
33,37,15,44,40,20,7,7.493612344466361,94.77534413337708,49.136493,61.653962
51,40,52,6,18,17,37,3.4110344961772965,96.17458367347716,47.252187,59.636879
9,11,28,27,20,3,5,2.91374048126428e-05,74.18979835510254,11.999931,24.079223
35,5,9,15,51,11,22,-20.678503322926144,74.15407466888428,11.9964,24.075532
14,25,32,37,24,47,48,3.411221271447909,94.79266548156738,49.210618,61.725869
6,7,8,35,6,50,7,-21.180795994058144,94.78690004348756,47.244685,59.825184
10,14,11,27,33,5,27,0.17899068364103776,74.28175830841064,11.996909,24.076025
41,18,35,6,37,49,5,4.759255930856226,95.6666886806488,47.251506,59.636198
9,51,28,5,3,9,23,-21.19498417120973,74.25037717819214,11.998962,24.078254
3,50,3,23,15,18,48,-6.907755278982137,74.08712911605835,12.001156,24.080448
35,10,49,35,48,43,25,30.296881812265514,72.80300855636597,11.996598,24.07589
13,16,32,26,41,25,42,16.816358377057618,95.7337408065796,47.251538,59.832069
49,18,13,33,27,24,41,-8.284167761345108,96.30663752555849,49.211026,61.726277
21,47,52,46,35,6,42,-21.18931675251047,94.62537026405334,49.2027,61.717951
13,29,23,14,8,17,47,-17.79190650576135,94.83045434951782,49.209649,61.7249
34,18,34,31,49,28,52,37.97442851252407,95.92776679992676,48.66203,61.198087
16,48,24,18,7,31,15,-19.58284350876401,96.24102663993835,49.208711,61.723962
30,24,37,35,14,52,32,2.7180752919199413,95.4462549686432,49.211026,61.726277
10,39,21,44,17,27,3,1.3811388502788646,74.31009364128113,11.993373,24.072665
50,49,9,41,51,14,23,-19.867596372922456,74.20599126815796,11.996909,24.076201
19,18,9,26,27,48,18,-19.579942886305172,74.1913640499115,11.997877,24.077169
9,41,13,35,8,52,11,-20.925604011767646,74.25067687034607,11.998964,24.078256
9,52,22,30,42,51,21,-8.574383821800936,74.09205460548401,11.999933,24.079225
10,44,17,39,35,24,25,2.2989674760239738,74.18270134925842,12.001894,24.081186
13,8,34,8,20,35,52,14.390928294468104,95.13192677497864,47.249886,59.830417
