var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
26,5,49,25,19,32,35,24.91466024684705,1050.871122,49.220883,61.736236
40,26,3,13,34,8,32,5.008087341685936e-05,815.4186692,12.002264,19.890738
26,40,51,28,52,8,12,-21.120417352776965,740.1849995,49.218336,61.733689
51,47,3,20,39,47,12,5.0070965104247767e-05,529.6249719,11.9922,19.880674
37,12,19,8,47,19,26,14.781123166009577,660.346046,47.259936,59.840569
27,29,42,39,18,25,27,24.611954306882016,657.8922055,47.98028,60.533463
8,52,26,36,8,25,33,-9.39541042493685,650.784375,47.250216,59.830849
10,7,4,22,29,20,4,4.1748346707080445e-05,526.5048938,12.008016,19.89649
48,11,43,9,39,11,42,-17.791298971113985,528.9148862,12.008151,19.896625
24,17,44,19,23,19,44,25.40619161693496,665.6312447,49.215875,61.731228
43,9,43,6,36,4,21,5.006492998444366e-05,526.0013659,12.008016,19.89649
18,3,43,43,44,28,24,3.4112222111326713,526.8111365,11.98988,19.878354
30,30,42,26,12,14,13,-8.571774674445521,672.9279895,49.218336,61.733689
32,22,45,46,46,49,13,15.488115708635506,669.4131651,49.213584,61.728937
40,52,18,7,42,48,30,13.45477190815429,674.1700661,49.20724,61.722593
39,47,26,37,23,29,27,31.376378712419903,674.9438853,48.505196,61.044229
16,45,35,24,14,32,39,2.7180752803533044,660.3833742,49.218517,61.73387
51,3,42,25,33,19,33,3.4112221974175942,515.9660859,12.00396,19.892434
23,30,42,17,25,33,42,27.191105692752735,776.4793916,49.218336,61.733689
31,40,28,21,6,24,6,-20.666418384987605,786.6630886,49.19792,61.713273
34,7,37,39,13,37,37,-7.878520882992927,789.9776165,49.218336,61.733689
42,48,32,38,23,20,25,26.77941130054218,777.4477317,48.932916,61.459757
47,48,12,31,6,25,43,-20.6804032255157,766.4541531,49.20496,61.720313
22,40,12,33,24,13,18,-8.283783038535812,766.720526,49.218336,61.733689
38,46,7,18,33,15,31,-21.189315635361382,766.5256958,49.218336,61.733689
7,14,4,23,24,18,14,5.011724865468075e-05,742.8468392,47.2536,59.638393
32,16,17,46,27,8,14,-21.120417351900116,737.3109779,49.218336,61.733689
11,34,18,47,31,50,22,-7.187028366755073,598.8655417,12.008016,19.89649
34,9,47,13,52,48,13,15.48259901676817,586.5684757,12.008059,19.896533
6,20,48,18,29,36,43,-18.469848005011173,750.0638318,49.218336,61.733689
6,43,26,12,41,44,15,-18.469847975456247,754.3664024,49.203081,61.718434
21,9,6,50,14,44,43,-21.189317476387533,595.3717763,12.008131,19.896605
35,14,25,17,23,21,47,26.708958313083468,762.9175105,49.218336,61.733689
4,33,17,30,25,36,28,-20.729393833131716,739.0392122,49.217469,61.732822
13,38,41,20,40,35,19,16.80103344399501,757.7128992,47.259936,59.840569
46,10,26,13,49,21,31,21.78518535479286,600.2107038,12.008016,19.89649
6,9,20,42,52,17,26,-18.469848005011173,583.6359193,12.006608,19.895082
11,46,43,7,43,24,10,-7.1923855802966035,581.9594028,12.008016,19.89649
7,45,36,18,48,36,44,-8.578544506927509,752.1383142,49.20144,61.716793
28,49,15,21,8,38,40,-9.382713031202934,760.3046615,47.259936,59.840569
47,21,33,41,27,48,15,18.432845629501386,758.1496346,48.615504,61.151583
41,50,47,41,41,21,16,19.648933795498127,735.2016051,48.62108,61.156347
13,4,28,45,39,26,41,16.81803185909672,752.4796131,49.218336,61.733689
8,31,39,46,19,40,43,-7.8919468476141965,739.1627319,47.25712,59.837753
44,47,11,42,23,8,4,-21.10824583437959,585.2434733,11.989712,19.878186
31,8,24,48,37,32,50,29.062056499398913,738.1246796,49.218336,61.733689
17,41,12,46,36,51,31,2.7180713955491522,740.0536659,47.259936,59.840569
40,45,32,34,37,35,6,6.193877535937882,762.4311638,49.207072,61.722425
14,47,44,17,33,21,15,3.4112203001373134,753.1693821,49.218336,61.733689
39,35,39,13,48,4,40,5.008087341685936e-05,758.7556677,49.218336,61.733689
33,37,15,44,40,20,7,7.493612344466361,735.4153156,49.142642,61.660213
51,40,52,6,18,17,37,3.4110344961772965,765.1139874,47.240224,59.625017
9,11,28,27,20,3,5,2.91374048126428e-05,593.5125835,12.008016,19.89649
35,5,9,15,51,11,22,-20.678503322926144,594.2161813,12.008016,19.89649
14,25,32,37,24,47,48,3.411221271447909,740.2598183,49.218336,61.733689
6,7,8,35,6,50,7,-21.180795994058144,725.4517498,47.259936,59.840569
10,14,11,27,33,5,27,0.17899068364103776,592.3720157,12.002384,19.890858
41,18,35,6,37,49,5,4.759255930856226,747.6770945,47.259936,59.644729
9,51,28,5,3,9,23,-21.19498417120973,586.5463946,11.986896,19.89649
3,50,3,23,15,18,48,-6.907755278982137,590.9637935,12.008016,19.89649
