var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
26,5,49,25,19,32,35,24.91466024684705,92.56036258,49.221689,61.736831
40,26,3,13,34,8,32,5.008087341685936e-05,67.84457517,12.001843,19.890107
26,40,51,28,52,8,12,-21.120417352776965,81.24712896,49.221665,61.736807
51,47,3,20,39,47,12,5.0070965104247767e-05,66.2644608,12.013362,19.901459
37,12,19,8,47,19,26,14.781123166009577,82.24566555,47.26234,59.842762
27,29,42,39,18,25,27,24.611954306882016,81.83400559,47.983608,60.53658
8,52,26,36,8,25,33,-9.39541042493685,81.81413245,47.248443,59.828866
10,7,4,22,29,20,4,4.1748346707080445e-05,66.50252199,12.011345,19.899609
48,11,43,9,39,11,42,-17.791298971113985,66.88624978,12.011481,19.899745
24,17,44,19,23,19,44,25.40619161693496,80.91944504,49.213742,61.728884
43,9,43,6,36,4,21,5.006492998444366e-05,66.4116981,12.011346,19.89961
18,3,43,43,44,28,24,3.4112222111326713,66.64482999,12.011343,19.899607
30,30,42,26,12,14,13,-8.571774674445521,81.49756575,49.220426,61.735569
32,22,45,46,46,49,13,15.488115708635506,81.67172146,49.216917,61.732059
40,52,18,7,42,48,30,13.45477190815429,82.50198126,49.204933,61.720075
39,47,26,37,23,29,27,31.376378712419903,83.36884785,48.508528,61.04735
16,45,35,24,14,32,39,2.7180752803533044,82.28352523,49.221849,61.736992
51,3,42,25,33,19,33,3.4112221974175942,66.56482244,12.001654,19.889917
23,30,42,17,25,33,42,27.191105692752735,82.11562467,49.221668,61.73681
31,40,28,21,6,24,6,-20.666418384987605,81.72456479,49.221661,61.736803
34,7,37,39,13,37,37,-7.878520882992927,82.19710922,49.219019,61.734161
42,48,32,38,23,20,25,26.77941130054218,84.81477737,48.936243,61.462875
47,48,12,31,6,25,43,-20.6804032255157,82.38261366,49.203531,61.718673
22,40,12,33,24,13,18,-8.283783038535812,81.41373992,49.221668,61.73681
38,46,7,18,33,15,31,-21.189315635361382,83.03610229,49.221667,61.73681
7,14,4,23,24,18,14,5.011724865468075e-05,81.68243384,47.252171,59.636753
32,16,17,46,27,8,14,-21.120417351900116,81.81494975,49.221668,61.73681
11,34,18,47,31,50,22,-7.187028366755073,67.25432539,12.011345,19.899608
34,9,47,13,52,48,13,15.48259901676817,68.21197557,12.007332,19.895596
6,20,48,18,29,36,43,-18.469848005011173,81.14640045,49.221669,61.736811
6,43,26,12,41,44,15,-18.469847975456247,81.94499159,49.202353,61.717496
21,9,6,50,14,44,43,-21.189317476387533,66.66503429,12.011343,19.899606
35,14,25,17,23,21,47,26.708958313083468,81.81327581,49.221777,61.736919
4,33,17,30,25,36,28,-20.729393833131716,80.83114696,49.21674,61.731882
13,38,41,20,40,35,19,16.80103344399501,81.88923097,47.26327,59.843693
46,10,26,13,49,21,31,21.78518535479286,66.1604526,12.011346,19.899609
6,9,20,42,52,17,26,-18.469848005011173,66.53105235,12.005016,19.893279
11,46,43,7,43,24,10,-7.1923855802966035,67.37130332,12.011345,19.899608
7,45,36,18,48,36,44,-8.578544506927509,81.27449608,49.221666,61.736809
28,49,15,21,8,38,40,-9.382713031202934,82.49768424,47.263269,59.843692
47,21,33,41,27,48,15,18.432845629501386,83.74995732,48.613203,61.149071
41,50,47,41,41,21,16,19.648933795498127,79.90730071,48.624405,61.159462
