var_0,var_1,var_2,var_3,var_4,var_5,var_6,error
11,19,34,16,12,9,34,39606.09377196901
32,12,41,47,41,9,20,39636.45079603231
13,50,44,33,49,7,34,1593901888.27381
29,49,14,48,31,40,9,3.673666715777597e-05
32,32,52,46,42,18,52,3.403425600786052e-11
51,38,10,50,14,50,4,0.024168410617951226
24,25,49,45,20,4,5,0.999949850930399
4,25,44,7,12,4,26,0.9999502156711207
25,20,18,3,45,39,47,0.014933678843148003
3,25,50,21,49,36,11,2511386548.7739854
52,10,22,10,6,11,19,1598372077.214555
7,39,27,17,38,52,14,0.0001898046770565709
25,50,8,18,34,10,45,1593686177.5947256
15,15,51,30,46,31,34,3.300147986224655e-09
35,21,25,18,22,3,24,0.9999498969318301
5,20,46,10,13,46,49,41867.47370354725
23,21,51,39,46,13,41,3.522522011186851e-08
36,48,5,31,12,42,50,0.990251268140532
14,14,16,22,20,20,18,1.819363486044585e-08
4,21,16,17,39,43,25,1571694864.6934013
23,44,4,21,35,11,38,0.9999498969146914
41,43,51,49,9,34,31,2.809137398413807e-07
27,38,33,23,11,23,5,0.008342180791015612
34,33,52,7,31,27,46,1.486219201145758e-06
29,49,23,40,20,5,33,0.9902512681618404
33,19,47,40,50,35,27,5.336080157206172e-16
31,7,32,13,48,26,4,0.023816368319810988
19,40,3,24,25,22,39,0.9999498970185048
15,32,27,23,10,50,23,1.4308123490033852e-07
28,36,7,13,24,43,18,1593732661.9013197
19,46,5,30,10,25,16,0.990251145329826
30,32,16,15,24,10,24,2.1672747786341153e-06
3,51,24,42,32,41,16,2511386548.7739854
32,3,30,31,5,36,11,1588299871.299449
13,35,6,18,48,39,26,1593911705.145214
10,38,35,6,27,39,45,0.03670990152468933
42,38,12,13,10,22,26,3.6930587192212233e-07
18,38,46,42,26,23,39,4.8720526442392374e-11
19,6,23,8,28,9,50,39641.29173506531
5,15,33,44,16,21,34,41867.47370354725
8,41,10,46,29,19,44,7.32749582054683e-05
29,24,33,17,22,51,24,1.679426844214347e-12
24,23,39,41,10,45,16,1.010877364913107e-07
