,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
0,9254.0,35.0,25.0,49.0,34.77431447114425,26.906312704086304,11.341153
1,1561.0,40.0,32.0,36.0,44.46481844218559,31.3980073928833,11.339868
2,1670.0,17.0,20.0,38.0,27.858481350302263,30.412278413772583,11.3402
3,6087.0,7.0,13.0,37.0,18.13929989639509,27.08899998664856,11.34347
4,6669.0,23.0,6.0,28.0,8.443714342549617,27.323432683944706,11.341103
5,5933.0,37.0,33.0,41.0,45.86078593475586,27.202266931533813,11.341638
6,8829.0,17.0,34.0,28.0,37.65652485381461,27.211482763290405,11.342722
7,7945.0,4.0,51.0,37.0,50.14297689650356,26.94572424888611,11.342523
8,3508.0,13.0,26.0,33.0,36.17024409381984,27.343320846557617,11.340832
9,2002.0,45.0,31.0,7.0,8.556222562148333,29.91193723678589,7.885168
10,5866.0,43.0,43.0,42.0,56.6583284466371,26.9310622215271,11.338412
11,168.0,46.0,49.0,10.0,12.714215270966688,30.207460403442383,8.710123
12,2588.0,21.0,19.0,47.0,26.462647773119038,27.118042469024655,11.342727
13,5905.0,19.0,4.0,46.0,5.710737705942224,26.80722379684448,11.340478
14,9529.0,38.0,5.0,10.0,7.052705806825755,26.72919988632202,8.712004
15,6384.0,43.0,13.0,14.0,17.4733212474319,27.105616331100464,9.862696
16,7824.0,34.0,44.0,10.0,12.714215270966688,26.479793071746823,8.710125
17,9779.0,49.0,39.0,52.0,54.1815257016026,27.360641479492188,11.341907
18,4629.0,38.0,42.0,7.0,8.556222562148333,27.185896635055546,7.882977
19,8560.0,32.0,51.0,34.0,45.98501567517641,27.3857536315918,11.342963
20,9291.0,46.0,25.0,50.0,34.7743144831263,26.86659073829651,11.341064
21,6874.0,47.0,25.0,22.0,29.27268107832624,27.4984827041626,11.334424
22,6521.0,36.0,22.0,24.0,30.343671137668814,27.072622537612915,11.338603
23,8979.0,7.0,34.0,14.0,18.25389675140871,27.017780542373657,9.864934
24,6647.0,38.0,46.0,22.0,29.34721634358285,27.230074644088745,11.330837
25,9825.0,25.0,4.0,20.0,5.710736411393965,27.03817105293274,11.288003
26,210.0,6.0,31.0,23.0,30.739106273000505,29.24120140075684,11.341706
27,5278.0,51.0,32.0,45.0,44.497486075557376,27.46725535392761,11.340152
28,1919.0,10.0,37.0,49.0,51.42505959559958,35.084078550338745,11.334949
29,718.0,18.0,21.0,19.0,24.99652751380473,30.592408180236816,11.188344
30,4868.0,19.0,10.0,44.0,13.99611662827569,27.162741661071777,11.337479
31,7834.0,25.0,9.0,43.0,12.589120255499628,27.26939797401428,11.340232
32,1298.0,23.0,40.0,14.0,18.25389675140871,30.079392194747925,9.865325
33,9193.0,12.0,48.0,7.0,8.556222562148333,26.934051513671875,7.878978
34,4617.0,38.0,31.0,11.0,14.105591999067054,26.879367113113403,8.992436
35,3128.0,10.0,49.0,10.0,12.714215270966688,26.713668823242188,8.709333
36,9795.0,7.0,37.0,45.0,51.42660665565799,27.38829016685486,11.341473
37,3979.0,49.0,52.0,15.0,19.640866867360007,27.04790663719177,10.15147
38,9924.0,30.0,27.0,43.0,37.55272053291775,26.89241194725037,11.342328
39,8317.0,8.0,6.0,5.0,5.379849576086825,26.67482900619507,7.455964
40,4393.0,47.0,19.0,9.0,11.333253616392255,27.209746599197388,8.420813
41,1287.0,11.0,20.0,33.0,27.85852768833937,30.866660118103027,11.340844
42,4355.0,4.0,46.0,32.0,43.226249499348405,27.01969718933105,11.338346
43,7013.0,46.0,5.0,43.0,7.069639485731535,27.38961243629456,11.330886
44,3885.0,5.0,33.0,44.0,45.85979099296088,27.435608863830566,11.341317
45,5749.0,31.0,30.0,32.0,41.41722788815672,27.353732585906982,11.33852
46,9169.0,7.0,30.0,24.0,32.08018300637585,27.3757963180542,11.340057
47,2407.0,22.0,43.0,37.0,50.14491499191151,29.49336624145508,11.339571
48,2013.0,27.0,33.0,34.0,45.199727751663886,29.560563564300537,11.342897
49,5153.0,51.0,51.0,15.0,19.640866867360007,27.22474479675293,10.153118
50,8551.0,50.0,9.0,9.0,11.333253616392255,27.158539295196533,8.422569
51,4376.0,23.0,36.0,19.0,25.19198753821291,27.210867404937744,11.185694
52,8822.0,36.0,29.0,19.0,25.191573894181463,26.95909070968628,11.185403
53,4273.0,39.0,22.0,50.0,30.638515650514048,26.928048610687256,11.339549
54,5825.0,45.0,19.0,33.0,26.462648879632688,26.8029944896698,11.342586
55,6699.0,4.0,23.0,26.0,31.87070224227013,27.187868118286133,11.340716
56,7243.0,11.0,40.0,50.0,55.577678176780815,27.416945695877075,11.343181
57,449.0,14.0,6.0,30.0,8.443714406968915,29.321137189865112,11.341719
58,2227.0,30.0,40.0,49.0,55.57808384715889,29.64108943939209,11.341192
59,5756.0,48.0,30.0,46.0,41.71613232608316,26.940452575683597,11.33756
60,810.0,36.0,39.0,40.0,53.54051927702741,33.04173445701599,11.339954
61,4180.0,19.0,42.0,29.0,39.05621870244247,27.22323536872864,11.341385
62,9000.0,45.0,51.0,27.0,36.27634035918447,27.033432483673096,11.339355
63,5438.0,47.0,5.0,22.0,7.069639608646114,26.72998809814453,11.332673
64,7533.0,19.0,26.0,15.0,19.640866867360007,27.047130823135376,10.14912
65,6369.0,30.0,50.0,16.0,21.026374483565597,27.097558975219727,10.441328
66,8416.0,5.0,29.0,19.0,25.191573894181463,27.26349902153015,11.189706
67,1477.0,26.0,35.0,43.0,48.64510495510524,34.61142110824585,11.342963
68,1790.0,28.0,34.0,37.0,47.135200914724585,31.39130473136902,11.336463
69,2008.0,43.0,42.0,39.0,52.81626444128239,29.534685373306274,11.342636
70,682.0,8.0,33.0,43.0,45.859397632159016,33.1097993850708,11.34122
71,2816.0,29.0,14.0,16.0,19.2333877553168,26.984978675842285,10.443376
72,9431.0,6.0,27.0,7.0,8.556222562148333,26.71273946762085,7.888768
73,3774.0,11.0,24.0,49.0,33.3859548507886,26.949702262878414,11.341463
74,6495.0,10.0,23.0,21.0,27.76861488532529,27.31877112388611,11.334232
75,8878.0,42.0,5.0,19.0,7.06966862290968,27.51155424118042,11.18757
76,7361.0,12.0,6.0,46.0,8.443714396105825,26.891812801361084,11.338841
77,8366.0,16.0,49.0,24.0,32.10323412635308,26.939468383789062,11.337187
78,7474.0,43.0,7.0,5.0,5.60631008523664,26.917192220687863,7.461409
79,46.0,22.0,51.0,12.0,15.49557272762022,30.253663539886475,9.287793
80,30.0,25.0,43.0,15.0,19.640866867360007,29.731055974960327,10.154436
81,8250.0,52.0,15.0,25.0,20.925739579051523,27.66365528106689,11.338015
82,6935.0,29.0,29.0,52.0,40.33574970389749,27.427340269088745,11.339618
83,1468.0,33.0,31.0,37.0,43.10156737027457,34.175291538238525,11.341155
84,1665.0,15.0,19.0,51.0,26.4626477722786,30.82447504997253,11.338065
85,1416.0,33.0,52.0,30.0,40.44344819047781,30.858189344406128,11.340003
86,6480.0,12.0,41.0,45.0,56.91193748337896,27.179728269577023,11.337659
87,4852.0,7.0,35.0,42.0,48.64670524940092,27.22463297843933,11.343632
88,2470.0,33.0,44.0,49.0,61.10089163422455,29.587944746017456,11.342901
89,4373.0,25.0,7.0,36.0,9.82427945525476,27.15691614151001,11.336856
90,8524.0,14.0,14.0,38.0,19.5497255888564,26.82897114753723,11.340722
91,429.0,47.0,51.0,20.0,26.56436269555849,29.669109582901,11.283807
92,5244.0,20.0,43.0,39.0,52.85201649953432,27.294291734695435,11.338219
93,2119.0,23.0,34.0,41.0,47.2607550660237,29.952882289886475,11.34165
94,385.0,5.0,11.0,9.0,11.147408136995145,29.36251783370972,8.423693
95,1945.0,39.0,11.0,45.0,15.383937856787757,30.3145911693573,11.342639
96,4224.0,43.0,16.0,32.0,22.313626026908377,27.290960788726807,11.343779
97,473.0,14.0,31.0,19.0,25.19198753821291,29.756781578063965,11.188327
98,2129.0,33.0,43.0,32.0,43.226249499348405,29.79767608642578,11.342119
99,6556.0,46.0,20.0,21.0,27.211277251454536,27.36128115653992,11.330436
100,6998.0,37.0,22.0,28.0,30.63489054682371,26.839916706085205,11.343168
101,1055.0,7.0,22.0,5.0,5.808655922779822,30.12621545791626,7.460077
102,3274.0,37.0,38.0,29.0,39.05618255585244,27.25975275039673,11.341932
103,4961.0,42.0,13.0,20.0,18.138329229373195,26.96458625793457,11.287876
104,5363.0,13.0,16.0,44.0,22.313629724623624,27.33573341369629,11.337717
105,5816.0,19.0,40.0,10.0,12.714215270966688,26.8461229801178,8.710989
106,811.0,24.0,33.0,23.0,30.739106273000505,32.61090588569641,11.339722
107,4573.0,35.0,19.0,51.0,26.4626477722786,26.76255750656128,11.34261
108,6137.0,26.0,33.0,6.0,7.173350190832376,26.951366424560547,7.644798
109,2388.0,7.0,48.0,23.0,30.739106273000505,30.013256072998047,11.338322
110,9648.0,25.0,37.0,16.0,21.026374483565597,27.115946531295776,10.445195
111,6225.0,27.0,31.0,51.0,43.101299557175,27.07254528999329,11.335144
112,111.0,51.0,9.0,42.0,12.589120255476224,29.19769763946533,11.343501
113,8909.0,11.0,51.0,48.0,64.99990823406046,27.281785488128666,11.340726
114,1745.0,16.0,49.0,5.0,5.808655922779822,30.15610909461975,7.46224
115,7851.0,4.0,46.0,6.0,7.173350190832376,26.7688148021698,7.639717
116,1452.0,25.0,33.0,15.0,19.640866867360007,30.02701997756958,10.153118
117,319.0,5.0,26.0,30.0,36.11727226231457,29.394169330596924,11.33966
118,8593.0,37.0,6.0,11.0,8.430843805823809,27.24819540977478,9.001384
119,3333.0,42.0,46.0,17.0,22.418705749409764,26.92945671081543,10.720515
120,1922.0,27.0,22.0,40.0,30.63851680499,30.74107789993286,11.338529
121,5865.0,4.0,25.0,40.0,34.774311108791366,26.941983699798584,11.337802
122,9528.0,12.0,43.0,27.0,36.27634035918447,27.05876207351685,11.340443
123,3685.0,28.0,12.0,44.0,16.770696317003626,27.06995010375977,11.341605
124,4275.0,9.0,10.0,43.0,13.996116628244232,27.517152070999146,11.340642
125,4889.0,6.0,40.0,35.0,47.34911429222373,26.9819393157959,11.339038
126,5225.0,44.0,21.0,44.0,29.249116848972708,26.86103200912476,11.334809
127,7472.0,42.0,24.0,25.0,32.730297460975265,27.230912685394287,11.340977
128,3605.0,51.0,30.0,42.0,41.71615287772753,27.28154253959656,11.334621
129,1052.0,38.0,33.0,37.0,45.82509807043172,30.50792336463928,11.339434
130,4156.0,13.0,13.0,49.0,18.139299877495937,27.101174354553223,11.341113
131,9676.0,18.0,48.0,49.0,65.59341047130759,27.348663091659542,11.342651
132,99.0,29.0,6.0,39.0,8.443714396118752,30.24449324607849,11.339524
133,7508.0,22.0,35.0,12.0,15.49557272762022,26.596251010894772,9.284714
134,1456.0,14.0,50.0,21.0,27.96409071743339,29.99033522605896,11.332684
135,7688.0,19.0,36.0,26.0,34.882681208935736,27.19061160087585,11.34222
136,4004.0,11.0,44.0,44.0,59.84903414170719,27.347559213638306,11.338973
137,6866.0,20.0,22.0,13.0,16.85483866674139,27.24692249298096,9.572993
138,4509.0,45.0,31.0,37.0,43.10156737027457,26.981874227523804,11.339099
139,3299.0,52.0,44.0,47.0,60.99671980790661,27.50131630897522,11.342984
140,3799.0,27.0,34.0,35.0,46.59817171535393,27.41809701919556,11.340801
141,4281.0,45.0,13.0,10.0,12.632900865057824,26.777169227600098,8.709997
142,9051.0,47.0,44.0,46.0,60.80871171990489,27.330751180648804,11.341623
143,6462.0,30.0,51.0,11.0,14.105591999067054,26.793720245361328,9.000914
144,7912.0,11.0,46.0,4.0,4.46775561470342,26.81249737739563,7.370989
145,1414.0,5.0,27.0,18.0,23.803619814663907,30.421114444732662,10.986302
146,540.0,10.0,47.0,10.0,12.714215270966688,31.2727644443512,8.710563
147,5815.0,44.0,25.0,31.0,34.771096015627684,27.218090295791622,11.3411
148,8199.0,7.0,13.0,22.0,18.1399409528902,27.535510778427124,11.329955
149,3680.0,37.0,45.0,22.0,29.34721634358285,27.114392042160038,11.332573
150,754.0,30.0,9.0,8.0,9.539152209039743,29.767783164978027,8.152538
151,4196.0,31.0,28.0,52.0,38.94455231338718,26.944782972335812,11.34358
152,2650.0,29.0,48.0,49.0,65.59341047130759,27.1348135471344,11.337066
153,4522.0,15.0,18.0,51.0,25.05952143397922,27.182650804519653,11.341056
154,9519.0,49.0,52.0,5.0,5.808655922779822,27.16281247138977,7.460505
155,3118.0,50.0,19.0,16.0,20.955716020186685,26.68743920326233,10.442944
156,3728.0,28.0,18.0,16.0,20.844939226428718,26.914724588394165,10.445323
157,3886.0,14.0,46.0,38.0,51.521279431668425,27.10741806030273,11.341021
158,7107.0,26.0,36.0,40.0,49.996288075489694,27.399379014968872,11.336573
159,8068.0,17.0,37.0,49.0,51.42505959559958,27.05409574508667,11.342804
160,7325.0,7.0,15.0,19.0,20.900767925341075,27.149683475494385,11.189526
161,8483.0,29.0,39.0,7.0,8.556222562148333,26.841137409210205,7.884925
162,8767.0,19.0,19.0,22.0,26.332012856358315,27.030493021011356,11.333715
163,6500.0,37.0,5.0,5.0,5.808655922779822,27.039072275161743,7.458703
164,8426.0,30.0,11.0,4.0,4.467896869587701,26.78058409690857,7.377096
165,7963.0,6.0,25.0,5.0,5.808655922779822,26.691446781158447,7.460504
166,601.0,23.0,13.0,39.0,18.139299877991125,30.28721523284912,11.342664
167,9249.0,50.0,42.0,44.0,58.06775773831589,27.37268304824829,11.338957
168,8919.0,41.0,15.0,10.0,12.692355277366527,26.890299558639526,8.713528
169,6814.0,5.0,35.0,15.0,19.640866867360007,26.72941780090332,10.153118
170,5411.0,36.0,36.0,35.0,46.94252365451537,27.05599904060364,11.340002
171,8747.0,26.0,42.0,11.0,14.105591999067054,27.03813004493713,8.996347
172,5522.0,18.0,26.0,20.0,26.55704281990057,27.140722513198853,11.283777
173,1044.0,16.0,8.0,5.0,5.716852731420108,30.64067792892456,7.460494
