,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
0,9254.0,14.0,7.0,48.0,9.824279455265508,23.244866847991943,7.332324
1,1561.0,42.0,28.0,10.0,12.714215270966688,23.429115056991577,4.701899
2,1670.0,15.0,19.0,51.0,26.4626477722786,22.66487598419189,7.331763
3,6087.0,52.0,32.0,32.0,43.226249499348405,23.17477488517761,7.331923
4,6669.0,25.0,49.0,16.0,21.026374483565597,22.70152711868286,6.414582
5,5933.0,12.0,25.0,26.0,34.11593202288921,23.092851638793945,7.33209
6,8829.0,22.0,30.0,25.0,33.501191885802626,23.985414028167725,7.331407
7,7945.0,14.0,38.0,27.0,36.27634035918447,22.873748064041138,7.331751
8,3508.0,36.0,11.0,45.0,15.383937856787757,23.43671131134033,7.332419
9,2002.0,28.0,34.0,32.0,43.0113072775268,23.8984272480011,7.332075
10,5866.0,4.0,28.0,8.0,9.941862414746264,24.29428100585937,4.142
11,168.0,24.0,25.0,46.0,34.77431440545732,23.27114200592041,7.3319
12,2588.0,25.0,43.0,8.0,9.941862414746264,23.509629249572757,4.142012
13,5905.0,34.0,15.0,36.0,20.92587630644254,22.518940925598145,7.331723
14,9529.0,27.0,26.0,33.0,36.17024409381984,23.68622040748596,7.331724
15,6384.0,50.0,32.0,9.0,11.333253616392255,23.85041642189026,4.418543
16,7824.0,45.0,11.0,27.0,15.38394230329614,23.00431251525879,7.331462
17,9779.0,42.0,5.0,47.0,7.069639485731501,24.08328127861023,7.332449
18,4629.0,21.0,44.0,39.0,52.87480438002051,22.871069192886356,7.331789
19,8560.0,11.0,47.0,47.0,63.856349549707424,23.497466325759888,7.332282
20,9291.0,24.0,12.0,8.0,9.90730953383683,22.34933090209961,4.140091
21,6874.0,37.0,32.0,36.0,44.46481844218559,23.51116180419922,7.331976
22,6521.0,31.0,28.0,25.0,33.41912961935237,23.73028564453125,7.331366
23,8979.0,7.0,34.0,14.0,18.25389675140871,23.83910608291626,5.840153
24,6647.0,38.0,46.0,22.0,29.34721634358285,23.743752479553223,7.308833
25,9825.0,45.0,22.0,30.0,30.638941352214676,23.684978246688843,7.332183
26,210.0,19.0,17.0,7.0,8.554649492623456,22.99248003959656,3.87893
27,5278.0,20.0,37.0,9.0,11.333253616392255,23.25694441795349,4.418539
28,1919.0,51.0,33.0,13.0,16.860735528341312,22.672534227371216,5.566507
